date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,27.62,27.62,23.49,Clouds,1.95,58
2024-10-07,03:00:00,25.24,25.24,23.01,Clouds,1.83,64
2024-10-07,06:00:00,20.61,20.61,20.61,Clouds,1.4,77
2024-10-07,09:00:00,18.55,18.55,18.55,Clear,1.2,85
2024-10-07,12:00:00,17.78,17.78,17.78,Clear,1.72,87
2024-10-07,15:00:00,26.29,26.29,26.29,Clear,2.65,49
2024-10-07,18:00:00,30.75,30.75,30.75,Clear,3.19,34
2024-10-07,21:00:00,31.33,31.33,31.33,Clear,2.61,33
2024-10-08,00:00:00,25.56,25.56,25.56,Clouds,4.54,47
2024-10-08,03:00:00,21.67,21.67,21.67,Clouds,4.28,40
2024-10-08,06:00:00,18.75,18.75,18.75,Clouds,3.27,48
2024-10-08,09:00:00,15.55,15.55,15.55,Clear,2.68,62
2024-10-08,12:00:00,14.6,14.6,14.6,Clear,2.69,66
2024-10-08,15:00:00,22.79,22.79,22.79,Clear,2.57,44
2024-10-08,18:00:00,28.48,28.48,28.48,Clear,2.35,36
2024-10-08,21:00:00,29.09,29.09,29.09,Clear,2.8,36
2024-10-09,00:00:00,22.25,22.25,22.25,Clear,2.86,56
2024-10-09,03:00:00,21.97,21.97,21.97,Clouds,3.4,62
2024-10-09,06:00:00,22.04,22.04,22.04,Clouds,3.38,67
2024-10-09,09:00:00,17.74,17.74,17.74,Clear,2.99,86
2024-10-09,12:00:00,16.45,16.45,16.45,Clear,3.25,85
2024-10-09,15:00:00,23.95,23.95,23.95,Clear,4.95,58
2024-10-09,18:00:00,28.56,28.56,28.56,Clouds,5.05,37
2024-10-09,21:00:00,28.16,28.16,28.16,Clouds,5.36,38
2024-10-10,00:00:00,21.64,21.64,21.64,Clouds,3.92,56
2024-10-10,03:00:00,18.37,18.37,18.37,Clear,3.33,65
2024-10-10,06:00:00,15.89,15.89,15.89,Clear,3.06,69
2024-10-10,09:00:00,15.07,15.07,15.07,Clear,3.24,69
2024-10-10,12:00:00,14.5,14.5,14.5,Clear,2.89,71
2024-10-10,15:00:00,22.06,22.06,22.06,Clear,2.99,46
2024-10-10,18:00:00,26.96,26.96,26.96,Clear,2.44,33
2024-10-10,21:00:00,28.09,28.09,28.09,Clear,2.72,28
2024-10-11,00:00:00,20.77,20.77,20.77,Clear,2.14,43
2024-10-11,03:00:00,17.91,17.91,17.91,Clear,2.56,52
2024-10-11,06:00:00,15.78,15.78,15.78,Clear,2.26,61
2024-10-11,09:00:00,14.41,14.41,14.41,Clear,2.4,69
2024-10-11,12:00:00,12.49,12.49,12.49,Clear,2.18,79
2024-10-11,15:00:00,20.96,20.96,20.96,Clear,3.01,51
2024-10-11,18:00:00,26.25,26.25,26.25,Clear,1.83,36
2024-10-11,21:00:00,27.01,27.01,27.01,Clear,1.07,33
