date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,6.27,6.54,6.27,Clear,3.02,59
2024-10-07,03:00:00,3.07,3.07,1.53,Clear,1.82,77
2024-10-07,06:00:00,-0.19,-0.19,-0.19,Clouds,0.4,93
2024-10-07,09:00:00,-0.68,-0.68,-0.68,Clouds,0.75,94
2024-10-07,12:00:00,-1.06,-1.06,-1.06,Clouds,0.35,94
2024-10-07,15:00:00,-1.25,-1.25,-1.25,Clouds,0.49,93
2024-10-07,18:00:00,0.02,0.02,0.02,Clouds,0.55,86
2024-10-07,21:00:00,2.79,2.79,2.79,Clouds,0.95,70
2024-10-08,00:00:00,3.51,3.51,3.51,Clouds,1.42,67
2024-10-08,03:00:00,0.62,0.62,0.62,Clouds,0.72,84
2024-10-08,06:00:00,-0.03,-0.03,-0.03,Clouds,0.99,87
2024-10-08,09:00:00,0.04,0.04,0.04,Clouds,1.2,87
2024-10-08,12:00:00,-0.22,-0.22,-0.22,Clouds,1.1,92
2024-10-08,15:00:00,0.17,0.17,0.17,Snow,0.79,99
2024-10-08,18:00:00,0.15,0.15,0.15,Snow,0.79,97
2024-10-08,21:00:00,0.25,0.25,0.25,Snow,1.03,94
2024-10-09,00:00:00,0.75,0.75,0.75,Snow,1.38,90
2024-10-09,03:00:00,-0.32,-0.32,-0.32,Snow,1.05,99
2024-10-09,06:00:00,-0.53,-0.53,-0.53,Snow,0.95,99
2024-10-09,09:00:00,-0.85,-0.85,-0.85,Snow,1.9,99
2024-10-09,12:00:00,-2.22,-2.22,-2.22,Snow,1.4,97
2024-10-09,15:00:00,-2.39,-2.39,-2.39,Snow,0.9,97
2024-10-09,18:00:00,-2.27,-2.27,-2.27,Snow,0.64,94
2024-10-09,21:00:00,-0.84,-0.84,-0.84,Snow,1.13,86
2024-10-10,00:00:00,-0.55,-0.55,-0.55,Snow,1.32,87
2024-10-10,03:00:00,-1.47,-1.47,-1.47,Clouds,1.24,93
2024-10-10,06:00:00,-1.88,-1.88,-1.88,Clouds,0.48,95
2024-10-10,09:00:00,-2.24,-2.24,-2.24,Clouds,0.19,96
2024-10-10,12:00:00,-3.11,-3.11,-3.11,Clouds,0.46,96
2024-10-10,15:00:00,-3.64,-3.64,-3.64,Clouds,0.72,96
2024-10-10,18:00:00,-3.05,-3.05,-3.05,Clouds,0.49,93
2024-10-10,21:00:00,-0.95,-0.95,-0.95,Clouds,1.6,82
2024-10-11,00:00:00,-0.95,-0.95,-0.95,Clouds,1.92,84
2024-10-11,03:00:00,-1.73,-1.73,-1.73,Clouds,1.64,92
2024-10-11,06:00:00,-4.63,-4.63,-4.63,Clouds,0.6,98
2024-10-11,09:00:00,-5.12,-5.12,-5.12,Clouds,0.99,98
2024-10-11,12:00:00,-5.33,-5.33,-5.33,Clouds,1.29,97
2024-10-11,15:00:00,-5.47,-5.47,-5.47,Clouds,1.48,95
2024-10-11,18:00:00,-3.48,-3.48,-3.48,Clouds,1.05,87
2024-10-11,21:00:00,1.16,1.16,1.16,Clear,1.13,72
