date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,28.28,28.28,25.92,Clear,5.57,12
2024-10-07,03:00:00,22.03,22.03,18.32,Clear,5.53,16
2024-10-07,06:00:00,16.72,16.72,16.72,Clear,4.17,20
2024-10-07,09:00:00,15.7,15.7,15.7,Clear,4.58,22
2024-10-07,12:00:00,15.95,15.95,15.95,Clear,4.5,21
2024-10-07,15:00:00,21.2,21.2,21.2,Clear,3.27,17
2024-10-07,18:00:00,28.41,28.41,28.41,Clear,1.09,10
2024-10-07,21:00:00,28.59,28.59,28.59,Clouds,5.41,10
2024-10-08,00:00:00,26.03,26.03,26.03,Clouds,3.75,12
2024-10-08,03:00:00,19.36,19.36,19.36,Clouds,2.63,19
2024-10-08,06:00:00,17.46,17.46,17.46,Clouds,2.36,22
2024-10-08,09:00:00,17.08,17.08,17.08,Clouds,2.11,22
2024-10-08,12:00:00,15.8,15.8,15.8,Clouds,2.62,24
2024-10-08,15:00:00,21.57,21.57,21.57,Clouds,1.1,19
2024-10-08,18:00:00,26.58,26.58,26.58,Clouds,3.36,12
2024-10-08,21:00:00,27.22,27.22,27.22,Clouds,5.5,11
2024-10-09,00:00:00,24.8,24.8,24.8,Clouds,4.87,14
2024-10-09,03:00:00,17.77,17.77,17.77,Clouds,2.66,26
2024-10-09,06:00:00,16.91,16.91,16.91,Clouds,2.84,27
2024-10-09,09:00:00,16.33,16.33,16.33,Clouds,2.68,28
2024-10-09,12:00:00,15.69,15.69,15.69,Clouds,3.16,28
2024-10-09,15:00:00,20.9,20.9,20.9,Clouds,2.28,22
2024-10-09,18:00:00,24.07,24.07,24.07,Clouds,5.93,17
2024-10-09,21:00:00,22.31,22.31,22.31,Clouds,3.78,20
2024-10-10,00:00:00,20.33,20.33,20.33,Clouds,6.29,30
2024-10-10,03:00:00,15.73,15.73,15.73,Clouds,3.25,36
2024-10-10,06:00:00,15.02,15.02,15.02,Clouds,2.99,34
2024-10-10,09:00:00,14.2,14.2,14.2,Clear,3.29,31
2024-10-10,12:00:00,14.23,14.23,14.23,Clear,3.25,31
2024-10-10,15:00:00,19.79,19.79,19.79,Clear,2.62,23
2024-10-10,18:00:00,26.63,26.63,26.63,Clear,1.67,14
2024-10-10,21:00:00,27.25,27.25,27.25,Clouds,5.24,14
2024-10-11,00:00:00,24.37,24.37,24.37,Clouds,3.85,17
2024-10-11,03:00:00,16.33,16.33,16.33,Clouds,2.94,30
2024-10-11,06:00:00,16.37,16.37,16.37,Clouds,2.81,29
2024-10-11,09:00:00,15.81,15.81,15.81,Clouds,3.15,30
2024-10-11,12:00:00,15.45,15.45,15.45,Clouds,2.81,27
2024-10-11,15:00:00,20.94,20.94,20.94,Clouds,1.79,20
2024-10-11,18:00:00,26.6,26.6,26.6,Clouds,3.73,15
2024-10-11,21:00:00,27.25,27.25,27.25,Clouds,5.46,14
