date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,29.64,29.64,25.33,Clear,1.27,45
2024-10-07,03:00:00,25.61,25.61,22.51,Clear,0.84,56
2024-10-07,06:00:00,21.49,21.49,21.49,Clear,2.82,46
2024-10-07,09:00:00,17.8,17.8,17.8,Clear,2.5,47
2024-10-07,12:00:00,16.07,16.07,16.07,Clear,2.93,43
2024-10-07,15:00:00,20.77,20.77,20.77,Clear,3.9,34
2024-10-07,18:00:00,25.76,25.76,25.76,Clear,3.19,25
2024-10-07,21:00:00,26.44,26.44,26.44,Clear,3.32,25
2024-10-08,00:00:00,19.11,19.11,19.11,Clear,2.47,44
2024-10-08,03:00:00,15.59,15.59,15.59,Clear,1.86,53
2024-10-08,06:00:00,13.35,13.35,13.35,Clear,1.73,59
2024-10-08,09:00:00,11.61,11.61,11.61,Clear,1.76,64
2024-10-08,12:00:00,10.36,10.36,10.36,Clear,1.86,66
2024-10-08,15:00:00,18.0,18.0,18.0,Clear,2.95,41
2024-10-08,18:00:00,23.89,23.89,23.89,Clear,2.96,26
2024-10-08,21:00:00,25.1,25.1,25.1,Clear,3.36,24
2024-10-09,00:00:00,17.44,17.44,17.44,Clear,2.36,42
2024-10-09,03:00:00,14.35,14.35,14.35,Clear,1.75,50
2024-10-09,06:00:00,12.65,12.65,12.65,Clear,1.51,61
2024-10-09,09:00:00,11.53,11.53,11.53,Clear,1.71,67
2024-10-09,12:00:00,10.67,10.67,10.67,Clear,1.56,72
2024-10-09,15:00:00,18.76,18.76,18.76,Clear,2.42,46
2024-10-09,18:00:00,25.67,25.67,25.67,Clear,2.42,26
2024-10-09,21:00:00,27.31,27.31,27.31,Clear,2.59,22
2024-10-10,00:00:00,19.02,19.02,19.02,Clear,1.91,43
2024-10-10,03:00:00,16.2,16.2,16.2,Clear,1.43,55
2024-10-10,06:00:00,14.49,14.49,14.49,Clear,1.16,64
2024-10-10,09:00:00,13.34,13.34,13.34,Clear,1.25,69
2024-10-10,12:00:00,12.58,12.58,12.58,Clear,1.3,73
2024-10-10,15:00:00,21.12,21.12,21.12,Clear,1.89,44
2024-10-10,18:00:00,28.0,28.0,28.0,Clear,1.65,27
2024-10-10,21:00:00,28.66,28.66,28.66,Clouds,1.97,24
2024-10-11,00:00:00,21.01,21.01,21.01,Clouds,1.73,42
2024-10-11,03:00:00,18.05,18.05,18.05,Clouds,1.4,52
2024-10-11,06:00:00,16.04,16.04,16.04,Clouds,1.38,60
2024-10-11,09:00:00,14.47,14.47,14.47,Clear,1.16,67
2024-10-11,12:00:00,14.2,14.2,14.2,Clouds,1.45,69
2024-10-11,15:00:00,21.78,21.78,21.78,Clouds,1.48,46
2024-10-11,18:00:00,28.55,28.55,28.55,Clouds,1.65,29
2024-10-11,21:00:00,29.98,29.98,29.98,Clear,1.23,25
