date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,21.61,21.61,19.18,Clear,4.12,68
2024-10-07,03:00:00,19.7,19.7,18.14,Clear,4.75,75
2024-10-07,06:00:00,17.57,17.57,17.57,Clear,4.73,81
2024-10-07,09:00:00,17.08,17.08,17.08,Rain,3.95,84
2024-10-07,12:00:00,16.86,16.86,16.86,Clear,2.95,90
2024-10-07,15:00:00,21.98,21.98,21.98,Clear,5.42,43
2024-10-07,18:00:00,23.16,23.16,23.16,Clear,4.84,36
2024-10-07,21:00:00,21.71,21.71,21.71,Clear,4.04,42
2024-10-08,00:00:00,14.7,14.7,14.7,Clear,2.53,63
2024-10-08,03:00:00,13.28,13.28,13.28,Clear,3.31,70
2024-10-08,06:00:00,10.8,10.8,10.8,Clear,2.84,77
2024-10-08,09:00:00,9.27,9.27,9.27,Clear,2.55,78
2024-10-08,12:00:00,9.89,9.89,9.89,Clear,2.15,73
2024-10-08,15:00:00,18.52,18.52,18.52,Clear,2.32,41
2024-10-08,18:00:00,21.69,21.69,21.69,Clear,2.14,31
2024-10-08,21:00:00,21.01,21.01,21.01,Clear,2.52,34
2024-10-09,00:00:00,13.91,13.91,13.91,Clear,0.6,55
2024-10-09,03:00:00,12.79,12.79,12.79,Clear,1.51,55
2024-10-09,06:00:00,10.65,10.65,10.65,Clear,2.36,64
2024-10-09,09:00:00,9.57,9.57,9.57,Clear,2.47,69
2024-10-09,12:00:00,10.73,10.73,10.73,Clear,1.8,65
2024-10-09,15:00:00,20.17,20.17,20.17,Clear,0.32,37
2024-10-09,18:00:00,21.62,21.62,21.62,Clouds,2.39,32
2024-10-09,21:00:00,19.86,19.86,19.86,Clouds,2.65,45
2024-10-10,00:00:00,16.22,16.22,16.22,Clouds,2.84,63
2024-10-10,03:00:00,15.07,15.07,15.07,Clouds,2.57,69
2024-10-10,06:00:00,14.73,14.73,14.73,Clouds,3.16,68
2024-10-10,09:00:00,13.31,13.31,13.31,Clouds,2.97,74
2024-10-10,12:00:00,13.61,13.61,13.61,Clouds,5.6,57
2024-10-10,15:00:00,14.4,14.4,14.4,Clouds,6.62,55
2024-10-10,18:00:00,15.55,15.55,15.55,Clouds,5.36,48
2024-10-10,21:00:00,15.67,15.67,15.67,Clouds,4.21,46
2024-10-11,00:00:00,12.23,12.23,12.23,Clouds,3.03,54
2024-10-11,03:00:00,9.69,9.69,9.69,Clouds,2.39,64
2024-10-11,06:00:00,9.86,9.86,9.86,Clouds,3.52,68
2024-10-11,09:00:00,8.03,8.03,8.03,Clear,3.5,78
2024-10-11,12:00:00,7.26,7.26,7.26,Clear,2.8,80
2024-10-11,15:00:00,15.1,15.1,15.1,Clear,4.21,48
2024-10-11,18:00:00,17.57,17.57,17.57,Clear,3.33,41
2024-10-11,21:00:00,17.95,17.95,17.95,Clear,1.6,41
