date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,31.37,31.37,26.79,Clouds,2.38,20
2024-10-07,03:00:00,28.57,28.57,26.03,Clouds,1.8,23
2024-10-07,06:00:00,23.61,23.61,23.61,Clouds,4.66,32
2024-10-07,09:00:00,21.71,21.71,21.71,Clouds,5.1,43
2024-10-07,12:00:00,28.32,28.32,28.32,Clouds,6.75,26
2024-10-07,15:00:00,35.81,35.81,35.81,Clouds,5.53,15
2024-10-07,18:00:00,39.72,39.72,39.72,Clouds,3.44,12
2024-10-07,21:00:00,35.83,35.83,35.83,Clouds,3.13,16
2024-10-08,00:00:00,29.13,29.13,29.13,Clouds,3.57,24
2024-10-08,03:00:00,27.53,27.53,27.53,Clear,5.18,28
2024-10-08,06:00:00,25.23,25.23,25.23,Clouds,7.58,39
2024-10-08,09:00:00,22.26,22.26,22.26,Clouds,5.67,51
2024-10-08,12:00:00,30.87,30.87,30.87,Clouds,7.04,28
2024-10-08,15:00:00,41.72,41.72,41.72,Clouds,7.13,10
2024-10-08,18:00:00,44.18,44.18,44.18,Clouds,5.79,7
2024-10-08,21:00:00,38.87,38.87,38.87,Clouds,4.05,10
2024-10-09,00:00:00,33.58,33.58,33.58,Clouds,1.82,15
2024-10-09,03:00:00,30.5,30.5,30.5,Clouds,4.08,22
2024-10-09,06:00:00,23.65,23.65,23.65,Rain,7.14,56
2024-10-09,09:00:00,21.28,21.28,21.28,Clouds,5.7,63
2024-10-09,12:00:00,28.82,28.82,28.82,Clouds,6.45,37
2024-10-09,15:00:00,34.06,34.06,34.06,Rain,3.68,29
2024-10-09,18:00:00,33.66,33.66,33.66,Rain,2.5,31
2024-10-09,21:00:00,28.88,28.88,28.88,Rain,4.69,47
2024-10-10,00:00:00,22.83,22.83,22.83,Rain,3.65,80
2024-10-10,03:00:00,19.98,19.98,19.98,Rain,8.19,87
2024-10-10,06:00:00,19.4,19.4,19.4,Rain,5.75,90
2024-10-10,09:00:00,19.28,19.28,19.28,Clouds,5.12,89
2024-10-10,12:00:00,20.5,20.5,20.5,Rain,5.15,85
2024-10-10,15:00:00,22.16,22.16,22.16,Rain,4.43,77
2024-10-10,18:00:00,20.36,20.36,20.36,Rain,4.14,92
2024-10-10,21:00:00,21.02,21.02,21.02,Rain,5.79,87
2024-10-11,00:00:00,20.59,20.59,20.59,Rain,4.59,90
2024-10-11,03:00:00,20.23,20.23,20.23,Rain,4.25,93
2024-10-11,06:00:00,20.32,20.32,20.32,Rain,4.49,92
2024-10-11,09:00:00,20.31,20.31,20.31,Rain,5.17,94
2024-10-11,12:00:00,23.14,23.14,23.14,Rain,6.43,83
2024-10-11,15:00:00,24.69,24.69,24.69,Rain,5.74,78
2024-10-11,18:00:00,26.13,26.13,26.13,Rain,5.9,74
2024-10-11,21:00:00,23.74,23.74,23.74,Rain,5.37,84
