date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,17.36,17.36,13.51,Clouds,2.48,67
2024-10-07,03:00:00,14.98,14.98,12.82,Clouds,1.54,77
2024-10-07,06:00:00,12.91,12.91,12.91,Rain,1.55,95
2024-10-07,09:00:00,13.88,13.88,13.88,Rain,2.0,97
2024-10-07,12:00:00,15.48,15.48,15.48,Rain,3.89,97
2024-10-07,15:00:00,16.43,16.43,16.43,Rain,2.15,95
2024-10-07,18:00:00,20.56,20.56,20.56,Rain,4.09,48
2024-10-07,21:00:00,18.57,18.57,18.57,Clouds,4.52,47
2024-10-08,00:00:00,14.79,14.79,14.79,Clouds,3.29,63
2024-10-08,03:00:00,12.38,12.38,12.38,Clear,2.52,68
2024-10-08,06:00:00,10.38,10.38,10.38,Clouds,1.47,73
2024-10-08,09:00:00,9.38,9.38,9.38,Clouds,1.39,76
2024-10-08,12:00:00,10.13,10.13,10.13,Clouds,1.12,70
2024-10-08,15:00:00,16.26,16.26,16.26,Clear,3.02,41
2024-10-08,18:00:00,19.11,19.11,19.11,Clouds,3.87,33
2024-10-08,21:00:00,18.69,18.69,18.69,Clouds,3.12,33
2024-10-09,00:00:00,12.95,12.95,12.95,Clouds,3.12,49
2024-10-09,03:00:00,10.0,10.0,10.0,Clear,1.8,59
2024-10-09,06:00:00,8.34,8.34,8.34,Clear,0.82,63
2024-10-09,09:00:00,7.12,7.12,7.12,Clear,0.68,67
2024-10-09,12:00:00,8.14,8.14,8.14,Clear,1.25,63
2024-10-09,15:00:00,15.31,15.31,15.31,Clear,2.57,41
2024-10-09,18:00:00,17.95,17.95,17.95,Clear,3.47,30
2024-10-09,21:00:00,17.43,17.43,17.43,Clouds,3.0,38
2024-10-10,00:00:00,12.13,12.13,12.13,Clouds,0.96,54
2024-10-10,03:00:00,10.84,10.84,10.84,Clouds,1.38,60
2024-10-10,06:00:00,11.01,11.01,11.01,Rain,0.9,76
2024-10-10,09:00:00,8.71,8.71,8.71,Rain,2.55,78
2024-10-10,12:00:00,8.69,8.69,8.69,Clouds,3.68,76
2024-10-10,15:00:00,13.24,13.24,13.24,Clouds,4.65,46
2024-10-10,18:00:00,15.19,15.19,15.19,Clouds,4.65,37
2024-10-10,21:00:00,14.17,14.17,14.17,Clear,4.09,41
2024-10-11,00:00:00,9.87,9.87,9.87,Clear,3.23,54
2024-10-11,03:00:00,7.29,7.29,7.29,Clear,2.07,65
2024-10-11,06:00:00,5.86,5.86,5.86,Clear,1.53,71
2024-10-11,09:00:00,5.63,5.63,5.63,Clear,1.32,71
2024-10-11,12:00:00,6.6,6.6,6.6,Clear,2.14,70
2024-10-11,15:00:00,12.64,12.64,12.64,Clear,2.63,47
2024-10-11,18:00:00,16.77,16.77,16.77,Clear,3.03,36
2024-10-11,21:00:00,16.28,16.28,16.28,Clear,3.18,40
