date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,20.76,20.76,17.88,Clear,3.6,68
2024-10-07,03:00:00,18.37,18.37,16.45,Clear,4.34,75
2024-10-07,06:00:00,16.56,16.56,16.56,Clear,5.02,79
2024-10-07,09:00:00,16.81,16.81,16.81,Rain,4.69,87
2024-10-07,12:00:00,17.07,17.07,17.07,Clouds,3.72,87
2024-10-07,15:00:00,22.02,22.02,22.02,Clear,6.52,40
2024-10-07,18:00:00,23.31,23.31,23.31,Clear,6.56,34
2024-10-07,21:00:00,22.08,22.08,22.08,Clear,5.88,37
2024-10-08,00:00:00,15.59,15.59,15.59,Clear,3.26,56
2024-10-08,03:00:00,12.77,12.77,12.77,Clear,3.09,68
2024-10-08,06:00:00,10.38,10.38,10.38,Clear,2.93,75
2024-10-08,09:00:00,9.15,9.15,9.15,Clear,2.89,73
2024-10-08,12:00:00,10.07,10.07,10.07,Clear,2.37,69
2024-10-08,15:00:00,18.45,18.45,18.45,Clear,3.01,36
2024-10-08,18:00:00,21.54,21.54,21.54,Clear,4.16,28
2024-10-08,21:00:00,20.69,20.69,20.69,Clear,4.87,28
2024-10-09,00:00:00,14.12,14.12,14.12,Clear,2.09,46
2024-10-09,03:00:00,12.55,12.55,12.55,Clear,1.97,51
2024-10-09,06:00:00,10.84,10.84,10.84,Clear,3.01,61
2024-10-09,09:00:00,8.92,8.92,8.92,Clear,2.7,70
2024-10-09,12:00:00,10.34,10.34,10.34,Clear,1.14,63
2024-10-09,15:00:00,19.37,19.37,19.37,Clear,0.53,31
2024-10-09,18:00:00,22.81,22.81,22.81,Clear,3.86,26
2024-10-09,21:00:00,21.25,21.25,21.25,Clouds,4.21,32
2024-10-10,00:00:00,16.03,16.03,16.03,Clouds,3.32,46
2024-10-10,03:00:00,14.66,14.66,14.66,Clouds,3.36,58
2024-10-10,06:00:00,15.26,15.26,15.26,Clouds,4.48,66
2024-10-10,09:00:00,14.72,14.72,14.72,Clouds,5.07,56
2024-10-10,12:00:00,12.23,12.23,12.23,Clouds,5.9,59
2024-10-10,15:00:00,14.34,14.34,14.34,Clouds,6.53,45
2024-10-10,18:00:00,16.75,16.75,16.75,Clouds,5.01,34
2024-10-10,21:00:00,17.39,17.39,17.39,Clouds,4.6,32
2024-10-11,00:00:00,12.12,12.12,12.12,Clouds,3.37,48
2024-10-11,03:00:00,10.23,10.23,10.23,Clouds,3.42,56
2024-10-11,06:00:00,8.4,8.4,8.4,Clouds,3.42,66
2024-10-11,09:00:00,6.95,6.95,6.95,Clear,3.33,74
2024-10-11,12:00:00,7.82,7.82,7.82,Clear,2.88,71
2024-10-11,15:00:00,14.71,14.71,14.71,Clear,3.86,43
2024-10-11,18:00:00,18.87,18.87,18.87,Clear,3.28,32
2024-10-11,21:00:00,19.42,19.42,19.42,Clear,3.27,32
