date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,22.3,22.3,21.37,Rain,5.86,84
2024-10-07,03:00:00,21.81,21.81,21.34,Rain,5.58,88
2024-10-07,06:00:00,20.92,20.92,20.92,Rain,4.38,96
2024-10-07,09:00:00,20.9,20.9,20.9,Rain,5.22,97
2024-10-07,12:00:00,20.55,20.55,20.55,Rain,5.73,95
2024-10-07,15:00:00,20.47,20.47,20.47,Rain,6.44,96
2024-10-07,18:00:00,21.54,21.54,21.54,Rain,5.2,93
2024-10-07,21:00:00,21.7,21.7,21.7,Rain,5.5,95
2024-10-08,00:00:00,21.21,21.21,21.21,Clouds,4.22,95
2024-10-08,03:00:00,21.22,21.22,21.22,Clouds,4.04,96
2024-10-08,06:00:00,21.18,21.18,21.18,Clouds,3.48,97
2024-10-08,09:00:00,21.43,21.43,21.43,Clouds,3.38,96
2024-10-08,12:00:00,21.68,21.68,21.68,Rain,4.12,95
2024-10-08,15:00:00,22.77,22.77,22.77,Clouds,3.2,91
2024-10-08,18:00:00,24.51,24.51,24.51,Rain,3.83,84
2024-10-08,21:00:00,23.83,23.83,23.83,Rain,3.64,89
2024-10-09,00:00:00,22.65,22.65,22.65,Rain,2.74,95
2024-10-09,03:00:00,22.18,22.18,22.18,Rain,3.21,97
2024-10-09,06:00:00,22.18,22.18,22.18,Rain,3.98,97
2024-10-09,09:00:00,22.64,22.64,22.64,Clouds,4.92,95
2024-10-09,12:00:00,22.51,22.51,22.51,Rain,7.25,97
2024-10-09,15:00:00,23.42,23.42,23.42,Rain,9.55,93
2024-10-09,18:00:00,25.05,25.05,25.05,Rain,11.77,89
2024-10-09,21:00:00,24.39,24.39,24.39,Rain,23.62,88
2024-10-10,00:00:00,23.98,23.98,23.98,Rain,18.26,87
2024-10-10,03:00:00,22.43,22.43,22.43,Rain,22.87,82
2024-10-10,06:00:00,22.08,22.08,22.08,Rain,16.72,80
2024-10-10,09:00:00,20.71,20.71,20.71,Rain,11.86,85
2024-10-10,12:00:00,19.95,19.95,19.95,Rain,9.12,82
2024-10-10,15:00:00,18.67,18.67,18.67,Rain,7.79,84
2024-10-10,18:00:00,20.36,20.36,20.36,Clouds,7.77,73
2024-10-10,21:00:00,18.84,18.84,18.84,Clouds,6.66,77
2024-10-11,00:00:00,18.03,18.03,18.03,Clouds,6.03,74
2024-10-11,03:00:00,16.85,16.85,16.85,Clouds,5.19,78
2024-10-11,06:00:00,16.0,16.0,16.0,Clouds,5.21,82
2024-10-11,09:00:00,15.56,15.56,15.56,Clear,4.71,82
2024-10-11,12:00:00,15.05,15.05,15.05,Clear,3.84,86
2024-10-11,15:00:00,20.53,20.53,20.53,Clear,5.97,69
2024-10-11,18:00:00,24.26,24.26,24.26,Clear,5.79,59
2024-10-11,21:00:00,25.21,25.21,25.21,Clouds,5.77,57
