date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,26.48,26.48,22.91,Clouds,2.0,56
2024-10-07,03:00:00,23.32,23.32,20.84,Clear,0.91,65
2024-10-07,06:00:00,19.33,19.33,19.33,Clear,1.12,79
2024-10-07,09:00:00,18.52,18.52,18.52,Clear,0.6,90
2024-10-07,12:00:00,18.37,18.37,18.37,Clear,1.48,88
2024-10-07,15:00:00,25.94,25.94,25.94,Clear,1.52,56
2024-10-07,18:00:00,29.62,29.62,29.62,Clear,1.99,42
2024-10-07,21:00:00,29.61,29.61,29.61,Clear,1.93,39
2024-10-08,00:00:00,22.87,22.87,22.87,Clear,2.41,67
2024-10-08,03:00:00,20.95,20.95,20.95,Clear,1.22,73
2024-10-08,06:00:00,19.53,19.53,19.53,Clear,0.52,80
2024-10-08,09:00:00,18.6,18.6,18.6,Clear,1.33,83
2024-10-08,12:00:00,18.23,18.23,18.23,Clear,1.72,85
2024-10-08,15:00:00,25.15,25.15,25.15,Clear,3.11,56
2024-10-08,18:00:00,28.63,28.63,28.63,Clear,3.87,44
2024-10-08,21:00:00,27.92,27.92,27.92,Clouds,4.66,47
2024-10-09,00:00:00,23.36,23.36,23.36,Clouds,4.32,61
2024-10-09,03:00:00,20.29,20.29,20.29,Clouds,3.73,70
2024-10-09,06:00:00,19.09,19.09,19.09,Clouds,3.57,74
2024-10-09,09:00:00,18.38,18.38,18.38,Clouds,4.2,83
2024-10-09,12:00:00,17.88,17.88,17.88,Clouds,4.64,86
2024-10-09,15:00:00,21.34,21.34,21.34,Clouds,5.93,70
2024-10-09,18:00:00,21.93,21.93,21.93,Clouds,6.04,66
2024-10-09,21:00:00,20.98,20.98,20.98,Clouds,6.15,67
2024-10-10,00:00:00,19.47,19.47,19.47,Clouds,6.47,67
2024-10-10,03:00:00,18.57,18.57,18.57,Clouds,6.3,65
2024-10-10,06:00:00,17.4,17.4,17.4,Rain,5.23,65
2024-10-10,09:00:00,17.05,17.05,17.05,Clouds,5.86,58
2024-10-10,12:00:00,15.9,15.9,15.9,Clouds,5.36,62
2024-10-10,15:00:00,20.59,20.59,20.59,Clouds,5.31,45
2024-10-10,18:00:00,24.26,24.26,24.26,Clear,5.0,35
2024-10-10,21:00:00,24.81,24.81,24.81,Clear,4.25,37
2024-10-11,00:00:00,17.47,17.47,17.47,Clear,2.46,65
2024-10-11,03:00:00,15.05,15.05,15.05,Clear,1.44,75
2024-10-11,06:00:00,14.03,14.03,14.03,Clear,2.11,79
2024-10-11,09:00:00,12.64,12.64,12.64,Clear,2.8,81
2024-10-11,12:00:00,11.32,11.32,11.32,Clear,3.05,64
2024-10-11,15:00:00,17.82,17.82,17.82,Clear,3.82,36
2024-10-11,18:00:00,22.42,22.42,22.42,Clear,3.22,31
2024-10-11,21:00:00,22.89,22.89,22.89,Clear,2.75,32
