date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,29.29,29.29,28.58,Clouds,6.7,60
2024-10-07,03:00:00,28.26,28.26,27.57,Clouds,1.12,62
2024-10-07,06:00:00,26.55,26.55,26.55,Clouds,3.31,68
2024-10-07,09:00:00,25.39,25.39,25.39,Clouds,0.95,69
2024-10-07,12:00:00,24.68,24.68,24.68,Clear,2.11,71
2024-10-07,15:00:00,23.89,23.89,23.89,Clear,1.64,75
2024-10-07,18:00:00,25.26,25.26,25.26,Clear,1.86,67
2024-10-07,21:00:00,28.42,28.42,28.42,Clear,3.43,50
2024-10-08,00:00:00,27.95,27.95,27.95,Clear,4.06,57
2024-10-08,03:00:00,26.76,26.76,26.76,Clouds,1.52,63
2024-10-08,06:00:00,25.41,25.41,25.41,Clouds,3.99,67
2024-10-08,09:00:00,24.78,24.78,24.78,Clear,3.78,71
2024-10-08,12:00:00,23.92,23.92,23.92,Clear,2.99,76
2024-10-08,15:00:00,23.41,23.41,23.41,Clear,5.07,81
2024-10-08,18:00:00,25.29,25.29,25.29,Clear,5.82,60
2024-10-08,21:00:00,28.09,28.09,28.09,Clear,5.12,56
2024-10-09,00:00:00,28.39,28.39,28.39,Clear,5.28,55
2024-10-09,03:00:00,26.61,26.61,26.61,Clear,5.56,66
2024-10-09,06:00:00,25.21,25.21,25.21,Rain,4.67,75
2024-10-09,09:00:00,24.82,24.82,24.82,Rain,4.36,72
2024-10-09,12:00:00,24.12,24.12,24.12,Clouds,4.76,75
2024-10-09,15:00:00,23.65,23.65,23.65,Clouds,5.16,77
2024-10-09,18:00:00,25.27,25.27,25.27,Clouds,5.85,74
2024-10-09,21:00:00,28.3,28.3,28.3,Rain,5.57,59
2024-10-10,00:00:00,29.28,29.28,29.28,Clouds,2.89,52
2024-10-10,03:00:00,27.57,27.57,27.57,Clear,5.65,64
2024-10-10,06:00:00,25.56,25.56,25.56,Rain,4.91,74
2024-10-10,09:00:00,24.95,24.95,24.95,Clear,3.88,73
2024-10-10,12:00:00,24.53,24.53,24.53,Clear,3.8,79
2024-10-10,15:00:00,24.2,24.2,24.2,Clear,3.91,77
2024-10-10,18:00:00,26.18,26.18,26.18,Clear,4.07,67
2024-10-10,21:00:00,28.38,28.38,28.38,Clear,0.94,62
2024-10-11,00:00:00,27.58,27.58,27.58,Rain,1.34,69
2024-10-11,03:00:00,27.51,27.51,27.51,Rain,4.2,69
2024-10-11,06:00:00,25.8,25.8,25.8,Clouds,2.62,74
2024-10-11,09:00:00,25.4,25.4,25.4,Clouds,2.87,74
2024-10-11,12:00:00,24.8,24.8,24.8,Clouds,1.77,78
2024-10-11,15:00:00,24.36,24.36,24.36,Clouds,1.5,79
2024-10-11,18:00:00,25.56,25.56,25.56,Clouds,2.62,73
2024-10-11,21:00:00,28.49,28.49,28.49,Clouds,2.36,56
