date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,20.72,20.72,20.05,Clear,5.8,14
2024-10-07,03:00:00,14.62,14.62,11.4,Clear,3.92,22
2024-10-07,06:00:00,9.42,9.42,9.42,Clear,3.59,30
2024-10-07,09:00:00,8.3,8.3,8.3,Clear,3.13,33
2024-10-07,12:00:00,7.13,7.13,7.13,Clear,2.9,38
2024-10-07,15:00:00,10.73,10.73,10.73,Clear,2.05,30
2024-10-07,18:00:00,19.46,19.46,19.46,Clear,2.1,15
2024-10-07,21:00:00,22.42,22.42,22.42,Clear,6.35,12
2024-10-08,00:00:00,20.43,20.43,20.43,Clear,5.69,15
2024-10-08,03:00:00,12.35,12.35,12.35,Clear,3.19,33
2024-10-08,06:00:00,10.92,10.92,10.92,Clear,3.07,37
2024-10-08,09:00:00,9.62,9.62,9.62,Clear,2.67,41
2024-10-08,12:00:00,8.57,8.57,8.57,Clear,2.93,44
2024-10-08,15:00:00,11.75,11.75,11.75,Clear,2.01,36
2024-10-08,18:00:00,20.18,20.18,20.18,Clear,1.99,20
2024-10-08,21:00:00,23.27,23.27,23.27,Clouds,7.25,15
2024-10-09,00:00:00,21.37,21.37,21.37,Clouds,6.22,18
2024-10-09,03:00:00,13.35,13.35,13.35,Clear,3.76,32
2024-10-09,06:00:00,11.49,11.49,11.49,Clear,3.37,36
2024-10-09,09:00:00,10.17,10.17,10.17,Clouds,2.59,41
2024-10-09,12:00:00,9.25,9.25,9.25,Clouds,2.52,44
2024-10-09,15:00:00,12.64,12.64,12.64,Clear,2.05,38
2024-10-09,18:00:00,22.61,22.61,22.61,Clouds,4.75,18
2024-10-09,21:00:00,23.37,23.37,23.37,Clouds,8.78,15
2024-10-10,00:00:00,20.77,20.77,20.77,Clouds,6.18,19
2024-10-10,03:00:00,12.93,12.93,12.93,Clouds,3.16,32
2024-10-10,06:00:00,11.16,11.16,11.16,Clouds,2.88,36
2024-10-10,09:00:00,10.06,10.06,10.06,Clouds,2.44,40
2024-10-10,12:00:00,11.38,11.38,11.38,Clouds,1.77,37
2024-10-10,15:00:00,13.2,13.2,13.2,Clouds,1.84,34
2024-10-10,18:00:00,17.9,17.9,17.9,Clouds,1.47,24
2024-10-10,21:00:00,21.34,21.34,21.34,Clouds,5.1,18
2024-10-11,00:00:00,18.96,18.96,18.96,Clouds,4.37,25
2024-10-11,03:00:00,13.85,13.85,13.85,Clouds,1.87,42
2024-10-11,06:00:00,12.93,12.93,12.93,Clouds,1.95,45
2024-10-11,09:00:00,8.13,8.13,8.13,Clouds,0.81,63
2024-10-11,12:00:00,7.15,7.15,7.15,Clouds,1.01,71
2024-10-11,15:00:00,10.99,10.99,10.99,Clouds,1.18,46
2024-10-11,18:00:00,19.15,19.15,19.15,Clouds,2.27,24
2024-10-11,21:00:00,22.87,22.87,22.87,Clouds,7.61,16
