date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,22.95,22.95,19.01,Clear,5.31,28
2024-10-07,03:00:00,17.84,17.84,14.3,Clear,3.36,37
2024-10-07,06:00:00,11.69,11.69,11.69,Clear,2.87,47
2024-10-07,09:00:00,10.0,10.0,10.0,Clear,3.07,51
2024-10-07,12:00:00,8.42,8.42,8.42,Clear,3.08,54
2024-10-07,15:00:00,15.25,15.25,15.25,Clear,2.79,36
2024-10-07,18:00:00,19.91,19.91,19.91,Clear,3.08,20
2024-10-07,21:00:00,21.17,21.17,21.17,Clear,3.67,16
2024-10-08,00:00:00,14.89,14.89,14.89,Clear,2.33,25
2024-10-08,03:00:00,12.21,12.21,12.21,Clear,1.99,27
2024-10-08,06:00:00,11.07,11.07,11.07,Clear,1.02,28
2024-10-08,09:00:00,10.22,10.22,10.22,Clear,0.92,29
2024-10-08,12:00:00,9.57,9.57,9.57,Clear,0.69,30
2024-10-08,15:00:00,17.47,17.47,17.47,Clear,0.55,21
2024-10-08,18:00:00,22.64,22.64,22.64,Clear,1.58,16
2024-10-08,21:00:00,23.64,23.64,23.64,Clear,2.13,15
2024-10-09,00:00:00,17.33,17.33,17.33,Clear,1.51,23
2024-10-09,03:00:00,14.66,14.66,14.66,Clear,2.79,30
2024-10-09,06:00:00,13.15,13.15,13.15,Clear,2.82,39
2024-10-09,09:00:00,12.07,12.07,12.07,Clear,2.63,43
2024-10-09,12:00:00,11.16,11.16,11.16,Clear,2.59,47
2024-10-09,15:00:00,19.29,19.29,19.29,Clear,3.08,29
2024-10-09,18:00:00,25.51,25.51,25.51,Clear,3.47,18
2024-10-09,21:00:00,26.85,26.85,26.85,Clear,3.0,17
2024-10-10,00:00:00,20.03,20.03,20.03,Clear,2.14,28
2024-10-10,03:00:00,16.81,16.81,16.81,Clear,2.53,40
2024-10-10,06:00:00,15.3,15.3,15.3,Clear,1.14,45
2024-10-10,09:00:00,13.6,13.6,13.6,Clear,2.34,46
2024-10-10,12:00:00,11.95,11.95,11.95,Clear,3.07,49
2024-10-10,15:00:00,19.44,19.44,19.44,Clear,3.35,34
2024-10-10,18:00:00,25.22,25.22,25.22,Clear,2.37,24
2024-10-10,21:00:00,26.73,26.73,26.73,Clear,1.95,23
2024-10-11,00:00:00,20.11,20.11,20.11,Clear,3.11,35
2024-10-11,03:00:00,16.85,16.85,16.85,Clear,3.47,47
2024-10-11,06:00:00,14.84,14.84,14.84,Clear,3.27,57
2024-10-11,09:00:00,13.47,13.47,13.47,Clear,3.17,63
2024-10-11,12:00:00,12.45,12.45,12.45,Clear,3.03,70
2024-10-11,15:00:00,20.3,20.3,20.3,Clear,3.47,42
2024-10-11,18:00:00,26.59,26.59,26.59,Clear,4.49,28
2024-10-11,21:00:00,28.04,28.04,28.04,Clouds,4.34,25
