date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,23.01,23.01,18.66,Clear,3.97,25
2024-10-07,03:00:00,17.88,17.88,14.23,Clear,4.13,44
2024-10-07,06:00:00,12.13,12.13,12.13,Clear,3.36,61
2024-10-07,09:00:00,10.33,10.33,10.33,Clear,2.89,66
2024-10-07,12:00:00,9.17,9.17,9.17,Clear,2.69,70
2024-10-07,15:00:00,14.44,14.44,14.44,Clear,3.31,56
2024-10-07,18:00:00,18.5,18.5,18.5,Clear,3.03,37
2024-10-07,21:00:00,19.57,19.57,19.57,Clear,3.51,30
2024-10-08,00:00:00,14.54,14.54,14.54,Clear,2.64,38
2024-10-08,03:00:00,11.55,11.55,11.55,Clear,2.74,37
2024-10-08,06:00:00,10.11,10.11,10.11,Clear,1.96,37
2024-10-08,09:00:00,9.29,9.29,9.29,Clear,1.5,40
2024-10-08,12:00:00,9.04,9.04,9.04,Clear,1.03,44
2024-10-08,15:00:00,16.17,16.17,16.17,Clear,0.9,36
2024-10-08,18:00:00,20.83,20.83,20.83,Clear,0.92,29
2024-10-08,21:00:00,21.33,21.33,21.33,Clear,2.26,28
2024-10-09,00:00:00,16.48,16.48,16.48,Clear,2.02,38
2024-10-09,03:00:00,15.2,15.2,15.2,Clear,2.31,39
2024-10-09,06:00:00,13.57,13.57,13.57,Clear,2.66,44
2024-10-09,09:00:00,12.26,12.26,12.26,Clear,2.64,46
2024-10-09,12:00:00,11.5,11.5,11.5,Clear,2.58,47
2024-10-09,15:00:00,18.6,18.6,18.6,Clear,3.18,33
2024-10-09,18:00:00,23.52,23.52,23.52,Clear,3.43,25
2024-10-09,21:00:00,24.14,24.14,24.14,Clear,3.73,25
2024-10-10,00:00:00,18.75,18.75,18.75,Clear,2.48,37
2024-10-10,03:00:00,16.54,16.54,16.54,Clear,2.19,41
2024-10-10,06:00:00,13.57,13.57,13.57,Clear,3.07,45
2024-10-10,09:00:00,11.63,11.63,11.63,Clear,3.24,59
2024-10-10,12:00:00,10.26,10.26,10.26,Clear,3.58,71
2024-10-10,15:00:00,15.75,15.75,15.75,Clear,4.21,50
2024-10-10,18:00:00,20.34,20.34,20.34,Clear,3.37,38
2024-10-10,21:00:00,21.03,21.03,21.03,Clear,3.23,33
2024-10-11,00:00:00,15.49,15.49,15.49,Clear,2.99,42
2024-10-11,03:00:00,12.73,12.73,12.73,Clear,2.76,43
2024-10-11,06:00:00,11.14,11.14,11.14,Clear,2.42,50
2024-10-11,09:00:00,10.53,10.53,10.53,Clear,2.03,54
2024-10-11,12:00:00,10.05,10.05,10.05,Clear,1.55,55
2024-10-11,15:00:00,16.75,16.75,16.75,Clear,2.31,36
2024-10-11,18:00:00,21.53,21.53,21.53,Clouds,2.41,27
2024-10-11,21:00:00,23.16,23.16,23.16,Clouds,2.66,30
