date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,18.85,18.85,15.55,Clear,3.8,31
2024-10-07,03:00:00,14.57,14.57,11.61,Clear,3.28,34
2024-10-07,06:00:00,9.59,9.59,9.59,Clear,2.57,32
2024-10-07,09:00:00,8.15,8.15,8.15,Clear,2.15,33
2024-10-07,12:00:00,7.12,7.12,7.12,Clear,1.21,36
2024-10-07,15:00:00,14.64,14.64,14.64,Clear,0.53,24
2024-10-07,18:00:00,20.61,20.61,20.61,Clear,1.8,17
2024-10-07,21:00:00,22.68,22.68,22.68,Clear,1.41,14
2024-10-08,00:00:00,16.31,16.31,16.31,Clear,1.29,21
2024-10-08,03:00:00,13.31,13.31,13.31,Clear,2.46,27
2024-10-08,06:00:00,11.95,11.95,11.95,Clear,2.72,31
2024-10-08,09:00:00,10.82,10.82,10.82,Clear,2.86,34
2024-10-08,12:00:00,9.86,9.86,9.86,Clear,2.44,37
2024-10-08,15:00:00,17.75,17.75,17.75,Clear,3.09,22
2024-10-08,18:00:00,24.95,24.95,24.95,Clear,3.94,15
2024-10-08,21:00:00,27.24,27.24,27.24,Clear,4.17,15
2024-10-09,00:00:00,20.06,20.06,20.06,Clear,3.8,25
2024-10-09,03:00:00,16.84,16.84,16.84,Clear,3.73,30
2024-10-09,06:00:00,14.95,14.95,14.95,Clear,3.68,36
2024-10-09,09:00:00,13.77,13.77,13.77,Clear,3.51,40
2024-10-09,12:00:00,12.86,12.86,12.86,Clear,3.14,42
2024-10-09,15:00:00,21.19,21.19,21.19,Clear,4.39,25
2024-10-09,18:00:00,28.52,28.52,28.52,Clear,4.14,19
2024-10-09,21:00:00,30.65,30.65,30.65,Clear,2.99,17
2024-10-10,00:00:00,23.15,23.15,23.15,Clear,0.84,27
2024-10-10,03:00:00,19.33,19.33,19.33,Clear,0.98,34
2024-10-10,06:00:00,17.42,17.42,17.42,Clear,1.62,42
2024-10-10,09:00:00,15.84,15.84,15.84,Clouds,1.79,51
2024-10-10,12:00:00,14.09,14.09,14.09,Clouds,2.67,57
2024-10-10,15:00:00,20.57,20.57,20.57,Clear,4.17,38
2024-10-10,18:00:00,27.57,27.57,27.57,Clear,4.95,24
2024-10-10,21:00:00,30.18,30.18,30.18,Clear,4.63,19
2024-10-11,00:00:00,22.57,22.57,22.57,Clear,3.73,30
2024-10-11,03:00:00,18.62,18.62,18.62,Clear,4.02,41
2024-10-11,06:00:00,16.75,16.75,16.75,Clear,3.56,44
2024-10-11,09:00:00,16.13,16.13,16.13,Clouds,3.53,48
2024-10-11,12:00:00,15.05,15.05,15.05,Clouds,3.23,54
2024-10-11,15:00:00,22.72,22.72,22.72,Clouds,4.73,33
2024-10-11,18:00:00,30.21,30.21,30.21,Clouds,5.94,26
2024-10-11,21:00:00,30.84,30.84,30.84,Clouds,5.25,24
