date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,24.37,24.37,21.71,Clear,3.38,15
2024-10-07,03:00:00,20.5,20.5,17.9,Clear,2.17,20
2024-10-07,06:00:00,15.39,15.39,15.39,Clear,3.37,28
2024-10-07,09:00:00,13.64,13.64,13.64,Clear,3.1,31
2024-10-07,12:00:00,12.82,12.82,12.82,Clear,3.19,32
2024-10-07,15:00:00,19.5,19.5,19.5,Clear,4.51,21
2024-10-07,18:00:00,25.76,25.76,25.76,Clear,5.22,16
2024-10-07,21:00:00,27.43,27.43,27.43,Clear,5.75,19
2024-10-08,00:00:00,22.54,22.54,22.54,Clear,4.21,28
2024-10-08,03:00:00,18.38,18.38,18.38,Clear,4.17,33
2024-10-08,06:00:00,15.94,15.94,15.94,Clear,4.14,34
2024-10-08,09:00:00,14.71,14.71,14.71,Clear,4.34,34
2024-10-08,12:00:00,13.46,13.46,13.46,Clear,4.09,36
2024-10-08,15:00:00,19.43,19.43,19.43,Clear,5.67,28
2024-10-08,18:00:00,26.38,26.38,26.38,Clear,5.48,23
2024-10-08,21:00:00,29.07,29.07,29.07,Clear,4.74,22
2024-10-09,00:00:00,23.39,23.39,23.39,Clear,4.07,32
2024-10-09,03:00:00,19.36,19.36,19.36,Clear,3.69,41
2024-10-09,06:00:00,17.82,17.82,17.82,Clouds,3.86,47
2024-10-09,09:00:00,16.01,16.01,16.01,Clear,4.02,54
2024-10-09,12:00:00,14.26,14.26,14.26,Clouds,3.03,58
2024-10-09,15:00:00,21.04,21.04,21.04,Clouds,2.84,39
2024-10-09,18:00:00,29.46,29.46,29.46,Clouds,4.04,23
2024-10-09,21:00:00,32.1,32.1,32.1,Clouds,4.25,20
2024-10-10,00:00:00,26.09,26.09,26.09,Clouds,3.27,30
2024-10-10,03:00:00,21.8,21.8,21.8,Clouds,3.61,41
2024-10-10,06:00:00,19.44,19.44,19.44,Clouds,3.95,43
2024-10-10,09:00:00,16.34,16.34,16.34,Clear,2.64,53
2024-10-10,12:00:00,14.94,14.94,14.94,Clear,1.06,60
2024-10-10,15:00:00,21.7,21.7,21.7,Clear,2.61,40
2024-10-10,18:00:00,28.54,28.54,28.54,Clear,3.72,26
2024-10-10,21:00:00,30.76,30.76,30.76,Clear,3.93,22
2024-10-11,00:00:00,24.56,24.56,24.56,Clear,3.55,32
2024-10-11,03:00:00,21.16,21.16,21.16,Clear,3.74,40
2024-10-11,06:00:00,18.1,18.1,18.1,Clear,4.05,46
2024-10-11,09:00:00,15.89,15.89,15.89,Clear,2.8,57
2024-10-11,12:00:00,14.95,14.95,14.95,Clear,2.14,61
2024-10-11,15:00:00,22.74,22.74,22.74,Clear,1.85,36
2024-10-11,18:00:00,30.53,30.53,30.53,Clear,2.94,21
2024-10-11,21:00:00,33.28,33.28,33.28,Clouds,3.04,14
