date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,15.18,20.39,15.18,Clear,3.97,51
2024-10-07,03:00:00,19.43,22.85,19.43,Clear,5.74,38
2024-10-07,06:00:00,21.49,21.49,21.49,Clear,6.0,32
2024-10-07,09:00:00,12.4,12.4,12.4,Clear,1.76,56
2024-10-07,12:00:00,11.01,11.01,11.01,Clouds,1.53,55
2024-10-07,15:00:00,10.86,10.86,10.86,Clouds,1.18,57
2024-10-07,18:00:00,10.04,10.04,10.04,Clouds,0.36,63
2024-10-07,21:00:00,14.9,14.9,14.9,Clouds,1.39,49
2024-10-08,00:00:00,21.12,21.12,21.12,Clouds,5.3,33
2024-10-08,03:00:00,22.48,22.48,22.48,Clouds,5.92,25
2024-10-08,06:00:00,21.31,21.31,21.31,Clouds,2.6,31
2024-10-08,09:00:00,14.36,14.36,14.36,Clouds,4.66,56
2024-10-08,12:00:00,10.46,10.46,10.46,Clouds,5.35,95
2024-10-08,15:00:00,9.05,9.05,9.05,Clouds,5.64,95
2024-10-08,18:00:00,8.83,8.83,8.83,Clouds,5.57,94
2024-10-08,21:00:00,8.92,8.92,8.92,Rain,6.02,94
2024-10-09,00:00:00,12.73,12.73,12.73,Clouds,7.71,75
2024-10-09,03:00:00,12.34,12.34,12.34,Rain,6.8,78
2024-10-09,06:00:00,10.56,10.56,10.56,Clouds,7.3,82
2024-10-09,09:00:00,7.95,7.95,7.95,Clouds,6.58,90
2024-10-09,12:00:00,7.85,7.85,7.85,Clouds,6.8,89
2024-10-09,15:00:00,7.85,7.85,7.85,Clouds,4.61,90
2024-10-09,18:00:00,6.24,6.24,6.24,Clouds,5.11,98
2024-10-09,21:00:00,8.76,8.76,8.76,Clouds,3.43,85
2024-10-10,00:00:00,16.88,16.88,16.88,Clouds,1.55,47
2024-10-10,03:00:00,20.5,20.5,20.5,Clouds,4.89,34
2024-10-10,06:00:00,18.43,18.43,18.43,Clouds,5.59,40
2024-10-10,09:00:00,10.82,10.82,10.82,Clear,2.96,68
2024-10-10,12:00:00,8.94,8.94,8.94,Clear,0.28,73
2024-10-10,15:00:00,7.95,7.95,7.95,Clear,0.38,76
2024-10-10,18:00:00,7.9,7.9,7.9,Clear,1.07,78
2024-10-10,21:00:00,13.81,13.81,13.81,Clouds,1.57,63
2024-10-11,00:00:00,19.79,19.79,19.79,Clouds,3.52,36
2024-10-11,03:00:00,22.31,22.31,22.31,Clear,4.75,31
2024-10-11,06:00:00,20.86,20.86,20.86,Clear,5.72,36
2024-10-11,09:00:00,12.73,12.73,12.73,Clear,2.12,59
2024-10-11,12:00:00,13.8,13.8,13.8,Clouds,2.17,57
2024-10-11,15:00:00,13.0,13.0,13.0,Clouds,1.77,61
2024-10-11,18:00:00,8.71,8.71,8.71,Clouds,2.61,86
2024-10-11,21:00:00,12.47,12.47,12.47,Clouds,3.77,78
