date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,29.77,29.77,27.13,Clear,3.69,54
2024-10-07,03:00:00,26.43,26.43,24.1,Clear,3.36,58
2024-10-07,06:00:00,22.82,22.82,22.82,Clear,3.27,62
2024-10-07,09:00:00,22.17,22.17,22.17,Clouds,3.39,63
2024-10-07,12:00:00,20.0,20.0,20.0,Clouds,3.13,72
2024-10-07,15:00:00,27.47,27.47,27.47,Clear,4.24,55
2024-10-07,18:00:00,32.56,32.56,32.56,Clear,5.28,32
2024-10-07,21:00:00,33.53,33.53,33.53,Clear,5.94,26
2024-10-08,00:00:00,28.11,28.11,28.11,Clouds,2.79,40
2024-10-08,03:00:00,25.73,25.73,25.73,Clouds,5.3,44
2024-10-08,06:00:00,21.72,21.72,21.72,Clouds,5.06,42
2024-10-08,09:00:00,18.36,18.36,18.36,Clear,4.34,48
2024-10-08,12:00:00,15.42,15.42,15.42,Clear,3.78,61
2024-10-08,15:00:00,21.69,21.69,21.69,Clear,5.43,43
2024-10-08,18:00:00,27.86,27.86,27.86,Clear,6.05,25
2024-10-08,21:00:00,29.48,29.48,29.48,Clear,6.7,17
2024-10-09,00:00:00,22.4,22.4,22.4,Clear,3.84,28
2024-10-09,03:00:00,18.03,18.03,18.03,Clear,3.41,41
2024-10-09,06:00:00,16.24,16.24,16.24,Clear,3.68,47
2024-10-09,09:00:00,14.66,14.66,14.66,Clear,3.69,55
2024-10-09,12:00:00,13.81,13.81,13.81,Clear,3.42,62
2024-10-09,15:00:00,22.23,22.23,22.23,Clear,4.82,40
2024-10-09,18:00:00,29.14,29.14,29.14,Clear,4.7,27
2024-10-09,21:00:00,30.88,30.88,30.88,Clear,5.25,19
2024-10-10,00:00:00,23.49,23.49,23.49,Clear,4.09,32
2024-10-10,03:00:00,20.01,20.01,20.01,Clear,3.57,42
2024-10-10,06:00:00,18.75,18.75,18.75,Clear,3.2,56
2024-10-10,09:00:00,17.93,17.93,17.93,Clear,3.17,67
2024-10-10,12:00:00,16.84,16.84,16.84,Clear,2.94,74
2024-10-10,15:00:00,24.79,24.79,24.79,Clear,2.97,50
2024-10-10,18:00:00,30.59,30.59,30.59,Clear,3.41,33
2024-10-10,21:00:00,32.49,32.49,32.49,Clear,4.28,24
2024-10-11,00:00:00,25.29,25.29,25.29,Clear,2.57,34
2024-10-11,03:00:00,20.75,20.75,20.75,Clouds,2.16,49
2024-10-11,06:00:00,18.74,18.74,18.74,Clouds,1.89,54
2024-10-11,09:00:00,17.35,17.35,17.35,Clear,1.52,56
2024-10-11,12:00:00,16.28,16.28,16.28,Clear,1.65,60
2024-10-11,15:00:00,24.76,24.76,24.76,Clear,1.87,37
2024-10-11,18:00:00,30.86,30.86,30.86,Clear,2.25,23
2024-10-11,21:00:00,32.32,32.32,32.32,Clear,2.83,19
