date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,11.25,11.25,9.34,Clouds,1.43,90
2024-10-07,03:00:00,10.37,10.37,9.45,Rain,1.55,95
2024-10-07,06:00:00,9.11,9.11,9.11,Clouds,1.41,99
2024-10-07,09:00:00,8.98,8.98,8.98,Clouds,1.88,98
2024-10-07,12:00:00,9.07,9.07,9.07,Rain,2.26,98
2024-10-07,15:00:00,9.47,9.47,9.47,Rain,3.29,98
2024-10-07,18:00:00,9.43,9.43,9.43,Rain,2.86,98
2024-10-07,21:00:00,9.39,9.39,9.39,Rain,2.16,99
2024-10-08,00:00:00,9.13,9.13,9.13,Rain,1.74,99
2024-10-08,03:00:00,9.15,9.15,9.15,Rain,1.08,99
2024-10-08,06:00:00,8.34,8.34,8.34,Rain,1.52,95
2024-10-08,09:00:00,7.02,7.02,7.02,Rain,1.8,96
2024-10-08,12:00:00,6.57,6.57,6.57,Rain,2.17,95
2024-10-08,15:00:00,7.64,7.64,7.64,Clouds,3.55,76
2024-10-08,18:00:00,10.19,10.19,10.19,Clouds,4.81,47
2024-10-08,21:00:00,8.63,8.63,8.63,Clear,3.66,53
2024-10-09,00:00:00,3.71,3.71,3.71,Clouds,1.89,79
2024-10-09,03:00:00,2.7,2.7,2.7,Clear,1.66,85
2024-10-09,06:00:00,2.05,2.05,2.05,Clouds,1.81,93
2024-10-09,09:00:00,2.2,2.2,2.2,Clouds,1.47,93
2024-10-09,12:00:00,4.29,4.29,4.29,Clouds,1.12,85
2024-10-09,15:00:00,7.57,7.57,7.57,Clouds,3.14,53
2024-10-09,18:00:00,9.7,9.7,9.7,Clouds,3.33,41
2024-10-09,21:00:00,8.45,8.45,8.45,Clouds,2.17,51
2024-10-10,00:00:00,3.53,3.53,3.53,Clouds,0.91,72
2024-10-10,03:00:00,3.94,3.94,3.94,Clouds,0.72,68
2024-10-10,06:00:00,2.56,2.56,2.56,Clouds,1.4,76
2024-10-10,09:00:00,3.77,3.77,3.77,Clouds,1.49,80
2024-10-10,12:00:00,4.3,4.3,4.3,Clouds,1.7,89
2024-10-10,15:00:00,6.83,6.83,6.83,Clouds,5.27,57
2024-10-10,18:00:00,7.2,7.2,7.2,Clouds,6.02,55
2024-10-10,21:00:00,4.31,4.31,4.31,Clouds,5.13,75
2024-10-11,00:00:00,2.19,2.19,2.19,Clouds,3.64,90
2024-10-11,03:00:00,3.86,3.86,3.86,Clouds,4.92,83
2024-10-11,06:00:00,3.65,3.65,3.65,Clouds,4.31,85
2024-10-11,09:00:00,3.5,3.5,3.5,Clouds,5.05,79
2024-10-11,12:00:00,3.97,3.97,3.97,Clouds,4.63,79
2024-10-11,15:00:00,8.3,8.3,8.3,Clouds,6.28,59
2024-10-11,18:00:00,9.0,9.0,9.0,Clouds,5.81,58
2024-10-11,21:00:00,8.04,8.04,8.04,Clouds,5.75,63
