date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,21.35,21.35,17.59,Clear,3.19,67
2024-10-07,03:00:00,18.48,18.48,16.1,Clear,2.97,79
2024-10-07,06:00:00,16.3,16.3,16.3,Clear,3.19,86
2024-10-07,09:00:00,15.51,15.51,15.51,Rain,2.69,95
2024-10-07,12:00:00,16.15,16.15,16.15,Clear,3.44,92
2024-10-07,15:00:00,19.7,19.7,19.7,Clear,5.95,48
2024-10-07,18:00:00,21.45,21.45,21.45,Clear,5.41,40
2024-10-07,21:00:00,21.02,21.02,21.02,Clear,4.46,41
2024-10-08,00:00:00,15.74,15.74,15.74,Clear,3.57,58
2024-10-08,03:00:00,13.31,13.31,13.31,Clear,3.12,62
2024-10-08,06:00:00,10.77,10.77,10.77,Clear,1.94,69
2024-10-08,09:00:00,9.87,9.87,9.87,Clear,2.09,71
2024-10-08,12:00:00,10.43,10.43,10.43,Clear,2.04,69
2024-10-08,15:00:00,18.0,18.0,18.0,Clear,2.56,40
2024-10-08,18:00:00,20.67,20.67,20.67,Clear,4.43,32
2024-10-08,21:00:00,20.1,20.1,20.1,Clear,3.52,35
2024-10-09,00:00:00,13.88,13.88,13.88,Clear,1.54,50
2024-10-09,03:00:00,12.42,12.42,12.42,Clear,1.78,56
2024-10-09,06:00:00,10.81,10.81,10.81,Clear,2.38,62
2024-10-09,09:00:00,9.38,9.38,9.38,Clear,1.7,62
2024-10-09,12:00:00,10.29,10.29,10.29,Clear,0.83,60
2024-10-09,15:00:00,18.17,18.17,18.17,Clear,1.93,36
2024-10-09,18:00:00,22.19,22.19,22.19,Clear,3.67,31
2024-10-09,21:00:00,21.51,21.51,21.51,Clouds,2.38,39
2024-10-10,00:00:00,15.83,15.83,15.83,Clouds,2.87,54
2024-10-10,03:00:00,14.92,14.92,14.92,Clouds,2.93,60
2024-10-10,06:00:00,14.68,14.68,14.68,Clouds,2.66,64
2024-10-10,09:00:00,14.22,14.22,14.22,Clouds,4.63,53
2024-10-10,12:00:00,11.75,11.75,11.75,Clouds,5.08,54
2024-10-10,15:00:00,14.04,14.04,14.04,Clouds,5.0,45
2024-10-10,18:00:00,16.53,16.53,16.53,Clouds,3.9,35
2024-10-10,21:00:00,17.01,17.01,17.01,Clouds,3.82,35
2024-10-11,00:00:00,12.03,12.03,12.03,Clouds,3.07,48
2024-10-11,03:00:00,10.53,10.53,10.53,Clouds,2.66,54
2024-10-11,06:00:00,8.44,8.44,8.44,Clouds,2.7,62
2024-10-11,09:00:00,6.96,6.96,6.96,Clear,2.71,68
2024-10-11,12:00:00,7.31,7.31,7.31,Clear,2.24,68
2024-10-11,15:00:00,14.72,14.72,14.72,Clear,2.73,42
2024-10-11,18:00:00,18.9,18.9,18.9,Clear,2.24,32
2024-10-11,21:00:00,19.09,19.09,19.09,Clear,2.81,34
