date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,14.47,14.47,13.26,Clouds,2.98,73
2024-10-07,03:00:00,13.26,13.26,12.36,Clouds,1.97,77
2024-10-07,06:00:00,11.6,11.6,11.6,Clouds,2.05,83
2024-10-07,09:00:00,12.55,12.55,12.55,Rain,2.68,91
2024-10-07,12:00:00,13.41,13.41,13.41,Rain,2.92,90
2024-10-07,15:00:00,14.18,14.18,14.18,Rain,4.51,96
2024-10-07,18:00:00,15.36,15.36,15.36,Rain,1.91,98
2024-10-07,21:00:00,16.81,16.81,16.81,Rain,2.07,88
2024-10-08,00:00:00,14.09,14.09,14.09,Rain,1.88,93
2024-10-08,03:00:00,11.06,11.06,11.06,Clear,3.05,86
2024-10-08,06:00:00,10.36,10.36,10.36,Clouds,2.8,86
2024-10-08,09:00:00,9.88,9.88,9.88,Clouds,2.51,82
2024-10-08,12:00:00,10.18,10.18,10.18,Clouds,2.56,77
2024-10-08,15:00:00,15.45,15.45,15.45,Clear,3.95,43
2024-10-08,18:00:00,18.09,18.09,18.09,Clear,3.7,35
2024-10-08,21:00:00,16.91,16.91,16.91,Clouds,1.96,43
2024-10-09,00:00:00,13.64,13.64,13.64,Clouds,3.23,52
2024-10-09,03:00:00,10.53,10.53,10.53,Clear,3.19,60
2024-10-09,06:00:00,8.47,8.47,8.47,Clear,2.74,71
2024-10-09,09:00:00,7.46,7.46,7.46,Clear,2.47,70
2024-10-09,12:00:00,8.18,8.18,8.18,Clear,2.52,63
2024-10-09,15:00:00,14.56,14.56,14.56,Clear,3.48,43
2024-10-09,18:00:00,17.0,17.0,17.0,Clouds,3.53,34
2024-10-09,21:00:00,15.31,15.31,15.31,Clouds,1.37,44
2024-10-10,00:00:00,12.26,12.26,12.26,Clouds,0.74,51
2024-10-10,03:00:00,10.48,10.48,10.48,Clear,2.13,59
2024-10-10,06:00:00,10.38,10.38,10.38,Rain,2.24,71
2024-10-10,09:00:00,9.27,9.27,9.27,Clouds,1.98,80
2024-10-10,12:00:00,9.53,9.53,9.53,Clouds,4.03,69
2024-10-10,15:00:00,12.86,12.86,12.86,Clouds,4.99,51
2024-10-10,18:00:00,15.52,15.52,15.52,Clouds,4.45,38
2024-10-10,21:00:00,14.17,14.17,14.17,Clouds,5.06,40
2024-10-11,00:00:00,9.54,9.54,9.54,Clouds,5.33,54
2024-10-11,03:00:00,8.54,8.54,8.54,Clouds,4.41,58
2024-10-11,06:00:00,7.82,7.82,7.82,Clouds,3.3,64
2024-10-11,09:00:00,7.2,7.2,7.2,Clear,3.78,69
2024-10-11,12:00:00,7.48,7.48,7.48,Clear,3.83,67
2024-10-11,15:00:00,13.3,13.3,13.3,Clear,4.25,41
2024-10-11,18:00:00,16.3,16.3,16.3,Clear,3.86,37
2024-10-11,21:00:00,16.08,16.08,16.08,Clear,3.23,41
