date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,12.9,12.9,10.63,Clouds,6.34,59
2024-10-07,03:00:00,11.4,11.4,10.08,Clouds,6.05,63
2024-10-07,06:00:00,9.05,9.05,9.05,Clouds,5.88,64
2024-10-07,09:00:00,9.44,9.44,9.44,Clouds,4.59,60
2024-10-07,12:00:00,4.5,4.5,4.5,Clouds,2.15,74
2024-10-07,15:00:00,11.82,11.82,11.82,Clear,4.56,43
2024-10-07,18:00:00,15.1,15.1,15.1,Clouds,5.59,34
2024-10-07,21:00:00,14.08,14.08,14.08,Clouds,6.18,39
2024-10-08,00:00:00,9.14,9.14,9.14,Clouds,3.52,52
2024-10-08,03:00:00,7.54,7.54,7.54,Clear,2.32,77
2024-10-08,06:00:00,5.73,5.73,5.73,Clear,2.09,81
2024-10-08,09:00:00,5.01,5.01,5.01,Clouds,2.05,91
2024-10-08,12:00:00,4.42,4.42,4.42,Clouds,1.9,89
2024-10-08,15:00:00,11.84,11.84,11.84,Clouds,3.49,51
2024-10-08,18:00:00,15.61,15.61,15.61,Clouds,4.96,33
2024-10-08,21:00:00,14.72,14.72,14.72,Clear,5.34,34
2024-10-09,00:00:00,7.59,7.59,7.59,Clear,0.92,61
2024-10-09,03:00:00,6.3,6.3,6.3,Clear,0.39,65
2024-10-09,06:00:00,5.28,5.28,5.28,Clear,0.7,69
2024-10-09,09:00:00,4.56,4.56,4.56,Clouds,0.95,74
2024-10-09,12:00:00,4.2,4.2,4.2,Clouds,1.84,80
2024-10-09,15:00:00,12.33,12.33,12.33,Clear,2.46,53
2024-10-09,18:00:00,16.15,16.15,16.15,Clear,3.82,29
2024-10-09,21:00:00,14.22,14.22,14.22,Clear,5.71,36
2024-10-10,00:00:00,8.0,8.0,8.0,Clear,4.4,70
2024-10-10,03:00:00,4.14,4.14,4.14,Clear,2.95,79
2024-10-10,06:00:00,2.36,2.36,2.36,Clear,2.79,89
2024-10-10,09:00:00,1.5,1.5,1.5,Clear,2.69,94
2024-10-10,12:00:00,1.03,1.03,1.03,Clear,2.45,93
2024-10-10,15:00:00,9.7,9.7,9.7,Clear,2.5,53
2024-10-10,18:00:00,15.72,15.72,15.72,Clear,1.69,31
2024-10-10,21:00:00,16.55,16.55,16.55,Clear,1.61,29
2024-10-11,00:00:00,9.1,9.1,9.1,Clear,1.53,52
2024-10-11,03:00:00,7.03,7.03,7.03,Clear,2.01,62
2024-10-11,06:00:00,6.34,6.34,6.34,Clouds,2.87,62
2024-10-11,09:00:00,6.65,6.65,6.65,Clouds,3.17,58
2024-10-11,12:00:00,6.97,6.97,6.97,Clouds,3.54,61
2024-10-11,15:00:00,15.32,15.32,15.32,Clouds,5.69,53
2024-10-11,18:00:00,21.61,21.61,21.61,Clouds,6.9,38
2024-10-11,21:00:00,19.68,19.68,19.68,Clouds,6.38,47
