date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,13.33,13.33,10.19,Clear,3.29,27
2024-10-07,03:00:00,9.21,9.21,6.37,Clear,2.8,35
2024-10-07,06:00:00,5.45,5.45,5.45,Clear,2.78,50
2024-10-07,09:00:00,6.37,6.37,6.37,Clouds,2.81,52
2024-10-07,12:00:00,6.93,6.93,6.93,Clouds,2.93,52
2024-10-07,15:00:00,13.04,13.04,13.04,Clouds,3.97,36
2024-10-07,18:00:00,19.32,19.32,19.32,Clouds,4.0,25
2024-10-07,21:00:00,21.39,21.39,21.39,Clear,3.71,23
2024-10-08,00:00:00,13.85,13.85,13.85,Clear,1.28,39
2024-10-08,03:00:00,9.75,9.75,9.75,Clouds,2.47,56
2024-10-08,06:00:00,8.39,8.39,8.39,Clouds,1.87,61
2024-10-08,09:00:00,6.88,6.88,6.88,Clouds,1.55,67
2024-10-08,12:00:00,6.21,6.21,6.21,Clouds,1.64,69
2024-10-08,15:00:00,13.93,13.93,13.93,Clouds,2.21,41
2024-10-08,18:00:00,20.62,20.62,20.62,Clouds,2.32,26
2024-10-08,21:00:00,22.26,22.26,22.26,Clear,2.27,22
2024-10-09,00:00:00,14.59,14.59,14.59,Clear,3.35,37
2024-10-09,03:00:00,11.59,11.59,11.59,Clear,3.12,43
2024-10-09,06:00:00,9.4,9.4,9.4,Clear,2.89,59
2024-10-09,09:00:00,8.19,8.19,8.19,Clear,2.99,60
2024-10-09,12:00:00,7.29,7.29,7.29,Clear,2.74,62
2024-10-09,15:00:00,14.69,14.69,14.69,Clear,3.54,37
2024-10-09,18:00:00,21.35,21.35,21.35,Clear,4.04,24
2024-10-09,21:00:00,23.37,23.37,23.37,Clear,4.82,22
2024-10-10,00:00:00,15.9,15.9,15.9,Clear,3.68,34
2024-10-10,03:00:00,10.66,10.66,10.66,Clear,4.88,62
2024-10-10,06:00:00,9.21,9.21,9.21,Clear,3.99,57
2024-10-10,09:00:00,8.01,8.01,8.01,Clear,3.3,64
2024-10-10,12:00:00,7.38,7.38,7.38,Clear,3.35,70
2024-10-10,15:00:00,14.06,14.06,14.06,Clear,5.16,52
2024-10-10,18:00:00,22.93,22.93,22.93,Clear,5.57,32
2024-10-10,21:00:00,26.53,26.53,26.53,Clouds,5.41,25
2024-10-11,00:00:00,19.88,19.88,19.88,Clouds,3.71,38
2024-10-11,03:00:00,18.56,18.56,18.56,Clouds,4.65,42
2024-10-11,06:00:00,17.21,17.21,17.21,Clouds,4.0,45
2024-10-11,09:00:00,14.93,14.93,14.93,Clouds,2.62,50
2024-10-11,12:00:00,15.29,15.29,15.29,Clouds,2.91,48
2024-10-11,15:00:00,18.51,18.51,18.51,Clouds,4.87,35
2024-10-11,18:00:00,19.95,19.95,19.95,Clouds,5.53,34
2024-10-11,21:00:00,20.03,20.03,20.03,Clouds,5.44,30
