date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,28.7,28.7,24.1,Clear,2.08,43
2024-10-07,03:00:00,25.94,25.94,23.41,Clouds,2.2,52
2024-10-07,06:00:00,22.73,22.73,22.73,Clouds,1.64,62
2024-10-07,09:00:00,19.57,19.57,19.57,Clear,1.44,75
2024-10-07,12:00:00,18.6,18.6,18.6,Clear,2.17,78
2024-10-07,15:00:00,25.61,25.61,25.61,Clear,2.82,58
2024-10-07,18:00:00,30.35,30.35,30.35,Clear,3.16,42
2024-10-07,21:00:00,29.61,29.61,29.61,Clear,4.39,40
2024-10-08,00:00:00,22.3,22.3,22.3,Clear,2.95,54
2024-10-08,03:00:00,18.22,18.22,18.22,Clear,3.54,55
2024-10-08,06:00:00,14.88,14.88,14.88,Clear,2.57,67
2024-10-08,09:00:00,12.98,12.98,12.98,Clear,2.27,76
2024-10-08,12:00:00,11.62,11.62,11.62,Clear,2.18,79
2024-10-08,15:00:00,19.49,19.49,19.49,Clear,3.63,48
2024-10-08,18:00:00,25.38,25.38,25.38,Clear,3.63,30
2024-10-08,21:00:00,26.39,26.39,26.39,Clear,3.74,26
2024-10-09,00:00:00,18.41,18.41,18.41,Clear,2.74,50
2024-10-09,03:00:00,15.71,15.71,15.71,Clear,2.87,58
2024-10-09,06:00:00,13.89,13.89,13.89,Clear,2.53,67
2024-10-09,09:00:00,13.26,13.26,13.26,Clear,2.27,71
2024-10-09,12:00:00,13.28,13.28,13.28,Clear,2.12,76
2024-10-09,15:00:00,21.73,21.73,21.73,Clear,2.55,60
2024-10-09,18:00:00,27.97,27.97,27.97,Clear,2.28,48
2024-10-09,21:00:00,28.91,28.91,28.91,Clear,3.05,40
2024-10-10,00:00:00,21.91,21.91,21.91,Clear,2.58,65
2024-10-10,03:00:00,19.4,19.4,19.4,Clear,2.78,70
2024-10-10,06:00:00,17.26,17.26,17.26,Clear,2.32,79
2024-10-10,09:00:00,15.8,15.8,15.8,Clear,2.22,78
2024-10-10,12:00:00,14.33,14.33,14.33,Clear,2.12,75
2024-10-10,15:00:00,22.4,22.4,22.4,Clear,2.45,45
2024-10-10,18:00:00,28.1,28.1,28.1,Clear,2.63,27
2024-10-10,21:00:00,28.9,28.9,28.9,Clear,3.01,26
2024-10-11,00:00:00,20.82,20.82,20.82,Clear,2.41,49
2024-10-11,03:00:00,18.24,18.24,18.24,Clear,2.58,54
2024-10-11,06:00:00,16.11,16.11,16.11,Clear,2.31,62
2024-10-11,09:00:00,14.77,14.77,14.77,Clear,2.27,67
2024-10-11,12:00:00,13.94,13.94,13.94,Clear,2.05,72
2024-10-11,15:00:00,22.48,22.48,22.48,Clear,1.92,48
2024-10-11,18:00:00,28.48,28.48,28.48,Clear,1.61,31
2024-10-11,21:00:00,28.73,28.73,28.73,Clear,1.68,28
