date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,23.97,23.97,18.77,Clear,2.31,19
2024-10-07,03:00:00,18.85,18.85,14.99,Clear,2.42,27
2024-10-07,06:00:00,12.38,12.38,12.38,Clear,1.86,44
2024-10-07,09:00:00,10.51,10.51,10.51,Clear,1.71,51
2024-10-07,12:00:00,8.81,8.81,8.81,Clear,1.62,55
2024-10-07,15:00:00,16.71,16.71,16.71,Clear,1.78,35
2024-10-07,18:00:00,22.48,22.48,22.48,Clear,2.02,22
2024-10-07,21:00:00,23.54,23.54,23.54,Clear,2.11,19
2024-10-08,00:00:00,15.78,15.78,15.78,Clear,1.61,34
2024-10-08,03:00:00,12.15,12.15,12.15,Clear,0.96,44
2024-10-08,06:00:00,10.73,10.73,10.73,Clear,1.03,49
2024-10-08,09:00:00,10.18,10.18,10.18,Clouds,1.47,51
2024-10-08,12:00:00,9.41,9.41,9.41,Clouds,0.96,53
2024-10-08,15:00:00,17.91,17.91,17.91,Clouds,1.36,32
2024-10-08,18:00:00,24.31,24.31,24.31,Clouds,1.94,19
2024-10-08,21:00:00,25.42,25.42,25.42,Clear,1.78,18
2024-10-09,00:00:00,17.48,17.48,17.48,Clear,1.85,32
2024-10-09,03:00:00,13.92,13.92,13.92,Clear,2.23,41
2024-10-09,06:00:00,12.21,12.21,12.21,Clear,1.94,48
2024-10-09,09:00:00,11.09,11.09,11.09,Clear,1.88,53
2024-10-09,12:00:00,10.43,10.43,10.43,Clear,1.8,54
2024-10-09,15:00:00,19.23,19.23,19.23,Clear,2.0,33
2024-10-09,18:00:00,26.99,26.99,26.99,Clear,2.05,20
2024-10-09,21:00:00,28.42,28.42,28.42,Clear,2.04,19
2024-10-10,00:00:00,20.27,20.27,20.27,Clear,2.12,34
2024-10-10,03:00:00,16.65,16.65,16.65,Clear,1.9,44
2024-10-10,06:00:00,14.56,14.56,14.56,Clear,1.9,51
2024-10-10,09:00:00,13.43,13.43,13.43,Clear,1.49,55
2024-10-10,12:00:00,12.55,12.55,12.55,Clear,1.59,59
2024-10-10,15:00:00,21.78,21.78,21.78,Clear,2.11,36
2024-10-10,18:00:00,28.6,28.6,28.6,Clear,2.12,23
2024-10-10,21:00:00,29.69,29.69,29.69,Clear,2.16,22
2024-10-11,00:00:00,21.39,21.39,21.39,Clear,2.03,39
2024-10-11,03:00:00,17.2,17.2,17.2,Clear,2.07,53
2024-10-11,06:00:00,15.3,15.3,15.3,Clear,1.81,60
2024-10-11,09:00:00,14.16,14.16,14.16,Clear,2.07,64
2024-10-11,12:00:00,13.43,13.43,13.43,Clear,1.99,66
2024-10-11,15:00:00,22.04,22.04,22.04,Clear,2.58,40
2024-10-11,18:00:00,29.08,29.08,29.08,Clear,3.39,25
2024-10-11,21:00:00,30.53,30.53,30.53,Clear,3.46,21
