date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,12.82,12.82,12.17,Clouds,1.86,80
2024-10-07,03:00:00,12.19,12.19,11.71,Clouds,2.06,77
2024-10-07,06:00:00,13.97,13.97,13.97,Clear,1.26,66
2024-10-07,09:00:00,19.02,19.02,19.02,Clear,0.9,49
2024-10-07,12:00:00,21.76,21.76,21.76,Clear,2.83,39
2024-10-07,15:00:00,20.39,20.39,20.39,Clear,3.23,45
2024-10-07,18:00:00,15.88,15.88,15.88,Clear,1.72,56
2024-10-07,21:00:00,14.73,14.73,14.73,Clear,2.16,58
2024-10-08,00:00:00,13.99,13.99,13.99,Clear,2.24,54
2024-10-08,03:00:00,13.31,13.31,13.31,Clear,1.16,58
2024-10-08,06:00:00,15.24,15.24,15.24,Clear,0.47,56
2024-10-08,09:00:00,20.94,20.94,20.94,Clear,1.72,40
2024-10-08,12:00:00,23.8,23.8,23.8,Clouds,1.63,34
2024-10-08,15:00:00,21.99,21.99,21.99,Clouds,0.24,43
2024-10-08,18:00:00,19.11,19.11,19.11,Clouds,1.1,44
2024-10-08,21:00:00,17.76,17.76,17.76,Clouds,1.31,48
2024-10-09,00:00:00,16.35,16.35,16.35,Clouds,1.91,53
2024-10-09,03:00:00,15.04,15.04,15.04,Clouds,1.34,57
2024-10-09,06:00:00,17.06,17.06,17.06,Clouds,1.05,55
2024-10-09,09:00:00,22.5,22.5,22.5,Clouds,1.3,39
2024-10-09,12:00:00,23.58,23.58,23.58,Clouds,2.05,38
2024-10-09,15:00:00,23.09,23.09,23.09,Clear,1.35,44
2024-10-09,18:00:00,19.41,19.41,19.41,Clouds,2.06,52
2024-10-09,21:00:00,18.46,18.46,18.46,Clouds,2.75,61
2024-10-10,00:00:00,17.7,17.7,17.7,Clouds,2.09,66
2024-10-10,03:00:00,16.8,16.8,16.8,Clear,2.07,68
2024-10-10,06:00:00,18.87,18.87,18.87,Clear,1.43,63
2024-10-10,09:00:00,24.9,24.9,24.9,Clear,1.49,41
2024-10-10,12:00:00,27.71,27.71,27.71,Clear,0.77,35
2024-10-10,15:00:00,25.7,25.7,25.7,Clouds,1.38,42
2024-10-10,18:00:00,22.01,22.01,22.01,Clouds,2.04,49
2024-10-10,21:00:00,20.52,20.52,20.52,Clouds,2.37,51
2024-10-11,00:00:00,19.8,19.8,19.8,Clouds,2.5,54
2024-10-11,03:00:00,19.01,19.01,19.01,Clouds,1.75,58
2024-10-11,06:00:00,20.71,20.71,20.71,Clouds,1.05,55
2024-10-11,09:00:00,23.52,23.52,23.52,Clouds,1.19,46
2024-10-11,12:00:00,25.42,25.42,25.42,Clouds,1.86,41
2024-10-11,15:00:00,23.71,23.71,23.71,Clouds,1.79,48
2024-10-11,18:00:00,20.36,20.36,20.36,Rain,0.83,60
2024-10-11,21:00:00,19.2,19.2,19.2,Rain,2.14,68
