date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,20.5,20.5,18.12,Clear,2.61,26
2024-10-07,03:00:00,15.84,15.84,12.91,Clear,2.95,31
2024-10-07,06:00:00,10.58,10.58,10.58,Clear,3.44,35
2024-10-07,09:00:00,9.53,9.53,9.53,Clear,3.66,38
2024-10-07,12:00:00,9.12,9.12,9.12,Clear,4.04,42
2024-10-07,15:00:00,16.81,16.81,16.81,Clear,6.39,26
2024-10-07,18:00:00,24.8,24.8,24.8,Clouds,7.17,19
2024-10-07,21:00:00,27.26,27.26,27.26,Clouds,6.89,19
2024-10-08,00:00:00,22.16,22.16,22.16,Clear,4.52,27
2024-10-08,03:00:00,16.27,16.27,16.27,Clear,3.98,39
2024-10-08,06:00:00,13.59,13.59,13.59,Clear,3.51,45
2024-10-08,09:00:00,12.81,12.81,12.81,Clear,3.53,52
2024-10-08,12:00:00,11.27,11.27,11.27,Clear,2.79,59
2024-10-08,15:00:00,18.41,18.41,18.41,Clear,1.12,36
2024-10-08,18:00:00,27.16,27.16,27.16,Clear,1.06,18
2024-10-08,21:00:00,29.45,29.45,29.45,Clear,2.03,12
2024-10-09,00:00:00,23.34,23.34,23.34,Clear,3.3,19
2024-10-09,03:00:00,17.86,17.86,17.86,Clear,3.56,29
2024-10-09,06:00:00,16.64,16.64,16.64,Clear,3.74,36
2024-10-09,09:00:00,15.63,15.63,15.63,Clear,4.22,40
2024-10-09,12:00:00,13.58,13.58,13.58,Clear,2.51,46
2024-10-09,15:00:00,20.92,20.92,20.92,Clear,2.66,25
2024-10-09,18:00:00,29.75,29.75,29.75,Clear,2.42,10
2024-10-09,21:00:00,31.95,31.95,31.95,Clear,1.69,8
2024-10-10,00:00:00,24.72,24.72,24.72,Clouds,2.72,12
2024-10-10,03:00:00,18.74,18.74,18.74,Clouds,3.86,22
2024-10-10,06:00:00,16.31,16.31,16.31,Clouds,1.95,28
2024-10-10,09:00:00,15.06,15.06,15.06,Clear,2.92,32
2024-10-10,12:00:00,13.67,13.67,13.67,Clear,2.28,37
2024-10-10,15:00:00,20.93,20.93,20.93,Clear,2.52,24
2024-10-10,18:00:00,29.36,29.36,29.36,Clear,0.45,12
2024-10-10,21:00:00,31.33,31.33,31.33,Clear,1.37,9
2024-10-11,00:00:00,24.31,24.31,24.31,Clear,2.91,13
2024-10-11,03:00:00,19.91,19.91,19.91,Clouds,4.11,18
2024-10-11,06:00:00,17.53,17.53,17.53,Clouds,4.05,44
2024-10-11,09:00:00,16.24,16.24,16.24,Clouds,3.81,46
2024-10-11,12:00:00,15.62,15.62,15.62,Clouds,3.85,44
2024-10-11,15:00:00,22.16,22.16,22.16,Clouds,4.71,24
2024-10-11,18:00:00,29.13,29.13,29.13,Clouds,4.37,16
2024-10-11,21:00:00,31.05,31.05,31.05,Clouds,3.72,11
