date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,21.68,21.68,20.97,Clouds,4.02,18
2024-10-07,03:00:00,18.44,18.44,16.65,Clouds,2.37,23
2024-10-07,06:00:00,13.48,13.48,13.48,Clouds,0.57,31
2024-10-07,09:00:00,12.63,12.63,12.63,Clouds,0.76,31
2024-10-07,12:00:00,12.89,12.89,12.89,Clouds,1.22,31
2024-10-07,15:00:00,14.24,14.24,14.24,Clouds,1.31,30
2024-10-07,18:00:00,19.38,19.38,19.38,Clouds,1.14,21
2024-10-07,21:00:00,22.08,22.08,22.08,Clouds,6.9,17
2024-10-08,00:00:00,19.3,19.3,19.3,Clouds,1.83,24
2024-10-08,03:00:00,15.47,15.47,15.47,Clouds,0.62,33
2024-10-08,06:00:00,14.07,14.07,14.07,Clouds,1.57,38
2024-10-08,09:00:00,13.65,13.65,13.65,Clouds,1.16,40
2024-10-08,12:00:00,10.18,10.18,10.18,Clouds,0.75,49
2024-10-08,15:00:00,13.14,13.14,13.14,Clear,1.42,39
2024-10-08,18:00:00,18.92,18.92,18.92,Clear,0.83,21
2024-10-08,21:00:00,21.38,21.38,21.38,Clouds,5.19,17
2024-10-09,00:00:00,19.82,19.82,19.82,Clouds,3.52,20
2024-10-09,03:00:00,12.95,12.95,12.95,Clouds,3.01,44
2024-10-09,06:00:00,12.02,12.02,12.02,Clouds,2.01,43
2024-10-09,09:00:00,10.95,10.95,10.95,Clear,2.02,43
2024-10-09,12:00:00,10.01,10.01,10.01,Clear,2.34,42
2024-10-09,15:00:00,12.47,12.47,12.47,Clear,2.53,34
2024-10-09,18:00:00,19.38,19.38,19.38,Clear,2.6,19
2024-10-09,21:00:00,21.96,21.96,21.96,Clouds,6.26,14
2024-10-10,00:00:00,20.87,20.87,20.87,Clouds,5.84,12
2024-10-10,03:00:00,15.22,15.22,15.22,Clouds,3.15,16
2024-10-10,06:00:00,12.94,12.94,12.94,Clouds,3.36,19
2024-10-10,09:00:00,11.29,11.29,11.29,Clouds,3.92,20
2024-10-10,12:00:00,10.94,10.94,10.94,Clouds,3.86,20
2024-10-10,15:00:00,12.13,12.13,12.13,Clouds,3.06,23
2024-10-10,18:00:00,18.5,18.5,18.5,Clouds,2.83,14
2024-10-10,21:00:00,20.86,20.86,20.86,Clouds,5.68,11
2024-10-11,00:00:00,19.18,19.18,19.18,Clouds,5.07,14
2024-10-11,03:00:00,13.9,13.9,13.9,Clouds,2.36,20
2024-10-11,06:00:00,12.79,12.79,12.79,Clouds,2.12,21
2024-10-11,09:00:00,12.35,12.35,12.35,Clouds,2.44,23
2024-10-11,12:00:00,11.04,11.04,11.04,Clouds,3.05,29
2024-10-11,15:00:00,12.21,12.21,12.21,Clouds,2.98,29
2024-10-11,18:00:00,18.77,18.77,18.77,Clouds,2.65,19
2024-10-11,21:00:00,21.47,21.47,21.47,Clear,7.27,15
