date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,13.05,13.05,9.27,Clouds,1.59,75
2024-10-07,03:00:00,10.44,10.44,8.19,Clouds,0.25,88
2024-10-07,06:00:00,9.53,9.53,9.53,Rain,1.08,97
2024-10-07,09:00:00,9.62,9.62,9.62,Rain,1.13,97
2024-10-07,12:00:00,10.06,10.06,10.06,Rain,0.78,98
2024-10-07,15:00:00,11.03,11.03,11.03,Rain,0.97,98
2024-10-07,18:00:00,11.85,11.85,11.85,Rain,0.81,96
2024-10-07,21:00:00,13.24,13.24,13.24,Clouds,0.06,90
2024-10-08,00:00:00,10.5,10.5,10.5,Rain,1.52,92
2024-10-08,03:00:00,8.0,8.0,8.0,Clouds,1.81,95
2024-10-08,06:00:00,7.29,7.29,7.29,Clouds,1.84,96
2024-10-08,09:00:00,5.13,5.13,5.13,Clouds,1.51,97
2024-10-08,12:00:00,5.96,5.96,5.96,Clear,1.86,94
2024-10-08,15:00:00,12.13,12.13,12.13,Clear,3.97,47
2024-10-08,18:00:00,15.07,15.07,15.07,Clear,3.57,39
2024-10-08,21:00:00,12.7,12.7,12.7,Rain,3.54,60
2024-10-09,00:00:00,6.7,6.7,6.7,Rain,1.38,91
2024-10-09,03:00:00,6.5,6.5,6.5,Clear,2.48,88
2024-10-09,06:00:00,3.28,3.28,3.28,Clear,1.69,95
2024-10-09,09:00:00,1.84,1.84,1.84,Clear,1.4,95
2024-10-09,12:00:00,3.6,3.6,3.6,Clouds,0.84,85
2024-10-09,15:00:00,11.5,11.5,11.5,Clouds,3.02,47
2024-10-09,18:00:00,12.89,12.89,12.89,Clouds,3.59,45
2024-10-09,21:00:00,12.21,12.21,12.21,Clouds,2.97,56
2024-10-10,00:00:00,6.56,6.56,6.56,Clouds,1.15,78
2024-10-10,03:00:00,5.39,5.39,5.39,Clouds,1.12,87
2024-10-10,06:00:00,3.2,3.2,3.2,Clouds,0.77,96
2024-10-10,09:00:00,3.82,3.82,3.82,Clouds,1.76,95
2024-10-10,12:00:00,6.01,6.01,6.01,Clouds,2.13,86
2024-10-10,15:00:00,10.94,10.94,10.94,Clear,4.52,50
2024-10-10,18:00:00,11.49,11.49,11.49,Clear,5.31,46
2024-10-10,21:00:00,8.65,8.65,8.65,Clouds,4.53,57
2024-10-11,00:00:00,4.89,4.89,4.89,Clouds,1.66,74
2024-10-11,03:00:00,2.85,2.85,2.85,Clear,1.26,91
2024-10-11,06:00:00,2.12,2.12,2.12,Clear,1.48,97
2024-10-11,09:00:00,2.89,2.89,2.89,Clear,1.89,92
2024-10-11,12:00:00,3.93,3.93,3.93,Clear,1.28,86
2024-10-11,15:00:00,11.72,11.72,11.72,Clear,4.75,49
2024-10-11,18:00:00,13.48,13.48,13.48,Clear,6.06,46
2024-10-11,21:00:00,12.38,12.38,12.38,Clear,4.57,54
