date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,19.4,19.4,16.35,Clear,4.88,69
2024-10-07,03:00:00,17.1,17.1,15.19,Clouds,3.53,76
2024-10-07,06:00:00,15.95,15.95,15.95,Clouds,4.32,82
2024-10-07,09:00:00,15.5,15.5,15.5,Rain,3.77,92
2024-10-07,12:00:00,15.92,15.92,15.92,Rain,2.92,96
2024-10-07,15:00:00,18.15,18.15,18.15,Rain,4.71,78
2024-10-07,18:00:00,22.2,22.2,22.2,Clouds,5.55,41
2024-10-07,21:00:00,21.0,21.0,21.0,Clear,4.46,41
2024-10-08,00:00:00,15.0,15.0,15.0,Clear,4.33,54
2024-10-08,03:00:00,11.68,11.68,11.68,Clear,3.43,65
2024-10-08,06:00:00,9.7,9.7,9.7,Clear,2.4,72
2024-10-08,09:00:00,8.54,8.54,8.54,Clouds,2.15,75
2024-10-08,12:00:00,9.56,9.56,9.56,Clouds,2.26,73
2024-10-08,15:00:00,17.35,17.35,17.35,Clear,3.47,37
2024-10-08,18:00:00,20.11,20.11,20.11,Clear,5.25,30
2024-10-08,21:00:00,19.1,19.1,19.1,Clouds,4.52,35
2024-10-09,00:00:00,11.8,11.8,11.8,Clouds,2.68,59
2024-10-09,03:00:00,9.93,9.93,9.93,Clouds,2.93,63
2024-10-09,06:00:00,8.35,8.35,8.35,Clouds,1.64,67
2024-10-09,09:00:00,7.48,7.48,7.48,Clear,2.15,69
2024-10-09,12:00:00,8.7,8.7,8.7,Clear,1.91,64
2024-10-09,15:00:00,16.6,16.6,16.6,Clear,2.24,40
2024-10-09,18:00:00,20.27,20.27,20.27,Clear,4.93,31
2024-10-09,21:00:00,20.05,20.05,20.05,Clear,4.04,37
2024-10-10,00:00:00,14.03,14.03,14.03,Clouds,1.97,52
2024-10-10,03:00:00,12.96,12.96,12.96,Clouds,4.11,62
2024-10-10,06:00:00,12.76,12.76,12.76,Clouds,3.82,65
2024-10-10,09:00:00,11.3,11.3,11.3,Clouds,5.69,66
2024-10-10,12:00:00,9.84,9.84,9.84,Clouds,5.55,64
2024-10-10,15:00:00,13.7,13.7,13.7,Clouds,6.19,41
2024-10-10,18:00:00,16.98,16.98,16.98,Clouds,5.27,31
2024-10-10,21:00:00,16.38,16.38,16.38,Clouds,4.43,34
2024-10-11,00:00:00,9.92,9.92,9.92,Clouds,3.39,51
2024-10-11,03:00:00,8.55,8.55,8.55,Clouds,3.59,58
2024-10-11,06:00:00,6.25,6.25,6.25,Clouds,2.49,69
2024-10-11,09:00:00,5.25,5.25,5.25,Clear,2.54,73
2024-10-11,12:00:00,5.54,5.54,5.54,Clear,2.11,74
2024-10-11,15:00:00,13.71,13.71,13.71,Clear,3.64,46
2024-10-11,18:00:00,18.17,18.17,18.17,Clear,4.3,35
2024-10-11,21:00:00,18.18,18.18,18.18,Clear,2.91,38
