date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,25.25,25.25,22.39,Clear,5.77,19
2024-10-07,03:00:00,19.33,19.33,15.65,Clear,3.54,28
2024-10-07,06:00:00,12.83,12.83,12.83,Clear,2.01,40
2024-10-07,09:00:00,10.87,10.87,10.87,Clear,1.29,45
2024-10-07,12:00:00,9.46,9.46,9.46,Clear,0.83,47
2024-10-07,15:00:00,18.02,18.02,18.02,Clear,2.25,27
2024-10-07,18:00:00,23.76,23.76,23.76,Clear,4.37,19
2024-10-07,21:00:00,25.32,25.32,25.32,Clear,3.05,16
2024-10-08,00:00:00,22.84,22.84,22.84,Clear,2.97,20
2024-10-08,03:00:00,16.97,16.97,16.97,Clear,2.74,27
2024-10-08,06:00:00,15.33,15.33,15.33,Clear,4.49,29
2024-10-08,09:00:00,13.81,13.81,13.81,Clear,4.61,35
2024-10-08,12:00:00,12.88,12.88,12.88,Clouds,4.28,43
2024-10-08,15:00:00,18.14,18.14,18.14,Clouds,4.66,38
2024-10-08,18:00:00,24.67,24.67,24.67,Clouds,5.39,23
2024-10-08,21:00:00,26.28,26.28,26.28,Clouds,5.64,15
2024-10-09,00:00:00,23.29,23.29,23.29,Clouds,4.22,17
2024-10-09,03:00:00,17.14,17.14,17.14,Clouds,2.58,22
2024-10-09,06:00:00,15.91,15.91,15.91,Clear,3.73,31
2024-10-09,09:00:00,14.9,14.9,14.9,Clear,4.79,37
2024-10-09,12:00:00,13.75,13.75,13.75,Clear,3.28,40
2024-10-09,15:00:00,19.26,19.26,19.26,Clear,2.93,31
2024-10-09,18:00:00,24.87,24.87,24.87,Clouds,2.22,19
2024-10-09,21:00:00,26.5,26.5,26.5,Clouds,2.16,15
2024-10-10,00:00:00,23.35,23.35,23.35,Clouds,3.4,21
2024-10-10,03:00:00,17.93,17.93,17.93,Clouds,2.79,21
2024-10-10,06:00:00,16.0,16.0,16.0,Clouds,3.59,30
2024-10-10,09:00:00,13.69,13.69,13.69,Clouds,2.07,42
2024-10-10,12:00:00,12.26,12.26,12.26,Clouds,2.25,40
2024-10-10,15:00:00,17.89,17.89,17.89,Clear,2.31,29
2024-10-10,18:00:00,24.8,24.8,24.8,Clear,2.38,18
2024-10-10,21:00:00,26.61,26.61,26.61,Clear,2.02,14
2024-10-11,00:00:00,23.13,23.13,23.13,Clouds,0.25,22
2024-10-11,03:00:00,17.2,17.2,17.2,Clear,2.21,25
2024-10-11,06:00:00,14.39,14.39,14.39,Clear,0.36,30
2024-10-11,09:00:00,14.65,14.65,14.65,Clear,2.34,28
2024-10-11,12:00:00,12.78,12.78,12.78,Clear,1.26,32
2024-10-11,15:00:00,20.21,20.21,20.21,Clear,0.87,22
2024-10-11,18:00:00,25.67,25.67,25.67,Clear,2.0,16
2024-10-11,21:00:00,27.13,27.13,27.13,Clear,0.41,13
