date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,19.76,19.76,19.13,Clouds,5.63,68
2024-10-07,03:00:00,19.24,19.24,18.82,Clouds,4.91,68
2024-10-07,06:00:00,18.01,18.01,18.01,Rain,4.85,75
2024-10-07,09:00:00,17.71,17.71,17.71,Rain,4.41,82
2024-10-07,12:00:00,17.29,17.29,17.29,Rain,4.53,87
2024-10-07,15:00:00,19.62,19.62,19.62,Clouds,4.83,63
2024-10-07,18:00:00,22.3,22.3,22.3,Clouds,5.94,39
2024-10-07,21:00:00,21.39,21.39,21.39,Clear,6.41,37
2024-10-08,00:00:00,18.44,18.44,18.44,Clear,5.82,44
2024-10-08,03:00:00,16.04,16.04,16.04,Clear,5.42,50
2024-10-08,06:00:00,14.82,14.82,14.82,Clouds,3.7,54
2024-10-08,09:00:00,13.83,13.83,13.83,Clouds,3.79,53
2024-10-08,12:00:00,13.51,13.51,13.51,Clouds,2.94,54
2024-10-08,15:00:00,17.34,17.34,17.34,Clear,3.06,37
2024-10-08,18:00:00,20.12,20.12,20.12,Clear,5.0,29
2024-10-08,21:00:00,20.31,20.31,20.31,Clouds,6.46,31
2024-10-09,00:00:00,17.72,17.72,17.72,Clouds,4.45,39
2024-10-09,03:00:00,14.89,14.89,14.89,Clouds,3.76,44
2024-10-09,06:00:00,13.85,13.85,13.85,Clouds,1.89,44
2024-10-09,09:00:00,13.14,13.14,13.14,Clear,2.7,50
2024-10-09,12:00:00,12.45,12.45,12.45,Clear,3.64,53
2024-10-09,15:00:00,16.29,16.29,16.29,Clear,2.94,33
2024-10-09,18:00:00,19.53,19.53,19.53,Clear,4.82,33
2024-10-09,21:00:00,20.32,20.32,20.32,Clouds,6.01,34
2024-10-10,00:00:00,18.71,18.71,18.71,Clouds,2.86,40
2024-10-10,03:00:00,17.63,17.63,17.63,Clouds,4.13,47
2024-10-10,06:00:00,16.32,16.32,16.32,Clouds,3.4,52
2024-10-10,09:00:00,14.18,14.18,14.18,Clouds,7.52,55
2024-10-10,12:00:00,11.46,11.46,11.46,Clouds,7.16,58
2024-10-10,15:00:00,14.09,14.09,14.09,Clouds,6.37,44
2024-10-10,18:00:00,17.17,17.17,17.17,Clouds,4.62,31
2024-10-10,21:00:00,17.65,17.65,17.65,Clouds,4.45,30
2024-10-11,00:00:00,15.16,15.16,15.16,Clouds,4.44,37
2024-10-11,03:00:00,12.04,12.04,12.04,Clouds,5.94,48
2024-10-11,06:00:00,10.71,10.71,10.71,Clouds,5.17,52
2024-10-11,09:00:00,10.1,10.1,10.1,Clear,3.03,55
2024-10-11,12:00:00,10.04,10.04,10.04,Clear,1.91,54
2024-10-11,15:00:00,13.46,13.46,13.46,Clear,1.79,43
2024-10-11,18:00:00,16.54,16.54,16.54,Clear,1.62,35
2024-10-11,21:00:00,18.89,18.89,18.89,Clear,3.33,32
