date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,23.84,23.84,19.83,Clear,0.94,64
2024-10-07,03:00:00,20.65,20.65,18.06,Clear,0.92,76
2024-10-07,06:00:00,17.24,17.24,17.24,Clear,1.5,89
2024-10-07,09:00:00,16.44,16.44,16.44,Clear,1.49,93
2024-10-07,12:00:00,17.08,17.08,17.08,Clear,1.06,91
2024-10-07,15:00:00,25.1,25.1,25.1,Clear,0.78,62
2024-10-07,18:00:00,27.46,27.46,27.46,Clear,2.69,48
2024-10-07,21:00:00,24.8,24.8,24.8,Clouds,2.37,55
2024-10-08,00:00:00,21.02,21.02,21.02,Clouds,2.65,57
2024-10-08,03:00:00,18.25,18.25,18.25,Clouds,2.73,53
2024-10-08,06:00:00,15.62,15.62,15.62,Clouds,2.52,60
2024-10-08,09:00:00,14.76,14.76,14.76,Clouds,2.18,63
2024-10-08,12:00:00,12.86,12.86,12.86,Clouds,3.21,85
2024-10-08,15:00:00,19.6,19.6,19.6,Clouds,3.24,57
2024-10-08,18:00:00,23.09,23.09,23.09,Clouds,2.76,50
2024-10-08,21:00:00,22.7,22.7,22.7,Clear,2.53,54
2024-10-09,00:00:00,16.59,16.59,16.59,Clear,2.18,78
2024-10-09,03:00:00,14.82,14.82,14.82,Clear,2.04,81
2024-10-09,06:00:00,13.82,13.82,13.82,Clear,1.86,93
2024-10-09,09:00:00,12.65,12.65,12.65,Clear,2.23,95
2024-10-09,12:00:00,12.43,12.43,12.43,Clear,2.59,91
2024-10-09,15:00:00,19.45,19.45,19.45,Clouds,3.32,63
2024-10-09,18:00:00,21.17,21.17,21.17,Clouds,3.2,55
2024-10-09,21:00:00,19.4,19.4,19.4,Clouds,2.07,67
2024-10-10,00:00:00,15.48,15.48,15.48,Clouds,1.89,82
2024-10-10,03:00:00,14.67,14.67,14.67,Clouds,1.99,82
2024-10-10,06:00:00,14.16,14.16,14.16,Clouds,2.13,81
2024-10-10,09:00:00,13.93,13.93,13.93,Clouds,2.13,81
2024-10-10,12:00:00,14.42,14.42,14.42,Clouds,3.58,79
2024-10-10,15:00:00,17.57,17.57,17.57,Clouds,3.96,70
2024-10-10,18:00:00,18.48,18.48,18.48,Clouds,5.42,60
2024-10-10,21:00:00,16.08,16.08,16.08,Clouds,4.38,61
2024-10-11,00:00:00,12.01,12.01,12.01,Clouds,3.36,69
2024-10-11,03:00:00,9.36,9.36,9.36,Clear,3.32,70
2024-10-11,06:00:00,8.44,8.44,8.44,Clear,3.47,71
2024-10-11,09:00:00,7.08,7.08,7.08,Clear,2.6,78
2024-10-11,12:00:00,7.04,7.04,7.04,Clear,2.77,78
2024-10-11,15:00:00,15.45,15.45,15.45,Clear,3.94,47
2024-10-11,18:00:00,19.24,19.24,19.24,Clear,3.07,39
2024-10-11,21:00:00,19.07,19.07,19.07,Clear,2.36,45
