date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,14.73,14.73,12.27,Clouds,2.42,30
2024-10-07,03:00:00,11.62,11.62,9.45,Clouds,3.03,35
2024-10-07,06:00:00,9.63,9.63,9.63,Clouds,2.66,37
2024-10-07,09:00:00,8.65,8.65,8.65,Clouds,3.38,39
2024-10-07,12:00:00,9.45,9.45,9.45,Clouds,2.31,37
2024-10-07,15:00:00,13.67,13.67,13.67,Clouds,2.44,29
2024-10-07,18:00:00,20.14,20.14,20.14,Clouds,2.67,18
2024-10-07,21:00:00,22.4,22.4,22.4,Clear,1.68,16
2024-10-08,00:00:00,17.24,17.24,17.24,Clear,1.88,24
2024-10-08,03:00:00,13.37,13.37,13.37,Clear,3.65,31
2024-10-08,06:00:00,11.52,11.52,11.52,Clear,4.0,35
2024-10-08,09:00:00,10.57,10.57,10.57,Clouds,4.05,37
2024-10-08,12:00:00,9.82,9.82,9.82,Clouds,4.08,39
2024-10-08,15:00:00,15.49,15.49,15.49,Clear,4.8,27
2024-10-08,18:00:00,23.27,23.27,23.27,Clear,4.98,18
2024-10-08,21:00:00,26.78,26.78,26.78,Clear,4.47,15
2024-10-09,00:00:00,20.99,20.99,20.99,Clear,3.33,22
2024-10-09,03:00:00,16.35,16.35,16.35,Clear,5.02,30
2024-10-09,06:00:00,15.41,15.41,15.41,Clear,5.94,31
2024-10-09,09:00:00,13.79,13.79,13.79,Clear,5.13,34
2024-10-09,12:00:00,13.3,13.3,13.3,Clear,4.32,30
2024-10-09,15:00:00,19.31,19.31,19.31,Clear,3.83,19
2024-10-09,18:00:00,27.54,27.54,27.54,Clear,3.55,12
2024-10-09,21:00:00,29.47,29.47,29.47,Clear,4.16,11
2024-10-10,00:00:00,22.36,22.36,22.36,Clear,1.91,17
2024-10-10,03:00:00,19.25,19.25,19.25,Clear,2.07,20
2024-10-10,06:00:00,17.83,17.83,17.83,Clear,2.81,23
2024-10-10,09:00:00,16.53,16.53,16.53,Clear,3.77,25
2024-10-10,12:00:00,15.84,15.84,15.84,Clouds,4.26,24
2024-10-10,15:00:00,21.37,21.37,21.37,Clouds,6.87,18
2024-10-10,18:00:00,28.63,28.63,28.63,Clouds,8.4,12
2024-10-10,21:00:00,30.08,30.08,30.08,Clouds,7.67,10
2024-10-11,00:00:00,21.64,21.64,21.64,Clouds,4.78,24
2024-10-11,03:00:00,17.21,17.21,17.21,Clouds,4.02,22
2024-10-11,06:00:00,17.37,17.37,17.37,Clouds,4.97,30
2024-10-11,09:00:00,15.05,15.05,15.05,Clouds,5.75,47
2024-10-11,12:00:00,12.56,12.56,12.56,Clouds,6.52,51
2024-10-11,15:00:00,11.63,11.63,11.63,Clouds,5.82,45
2024-10-11,18:00:00,14.73,14.73,14.73,Clouds,5.08,31
2024-10-11,21:00:00,17.28,17.28,17.28,Clouds,4.52,21
