date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,24.88,24.88,18.79,Clouds,3.97,43
2024-10-07,03:00:00,19.14,19.14,14.74,Clouds,5.71,45
2024-10-07,06:00:00,10.47,10.47,10.47,Clear,2.76,70
2024-10-07,09:00:00,8.85,8.85,8.85,Clear,2.98,77
2024-10-07,12:00:00,7.59,7.59,7.59,Clear,3.21,82
2024-10-07,15:00:00,13.67,13.67,13.67,Clear,3.99,52
2024-10-07,18:00:00,17.35,17.35,17.35,Clear,3.88,39
2024-10-07,21:00:00,17.92,17.92,17.92,Clear,3.92,34
2024-10-08,00:00:00,11.97,11.97,11.97,Clear,2.35,46
2024-10-08,03:00:00,10.19,10.19,10.19,Clear,1.68,49
2024-10-08,06:00:00,8.33,8.33,8.33,Clear,3.01,55
2024-10-08,09:00:00,6.68,6.68,6.68,Clear,2.69,63
2024-10-08,12:00:00,6.2,6.2,6.2,Clear,2.3,64
2024-10-08,15:00:00,14.59,14.59,14.59,Clouds,2.49,44
2024-10-08,18:00:00,19.09,19.09,19.09,Clouds,3.33,36
2024-10-08,21:00:00,19.71,19.71,19.71,Clear,3.9,34
2024-10-09,00:00:00,13.04,13.04,13.04,Clear,0.86,54
2024-10-09,03:00:00,11.73,11.73,11.73,Clear,2.91,58
2024-10-09,06:00:00,9.82,9.82,9.82,Clear,2.46,66
2024-10-09,09:00:00,9.1,9.1,9.1,Clear,2.4,67
2024-10-09,12:00:00,8.91,8.91,8.91,Clear,2.55,68
2024-10-09,15:00:00,18.03,18.03,18.03,Clear,3.94,39
2024-10-09,18:00:00,23.13,23.13,23.13,Clear,5.12,26
2024-10-09,21:00:00,23.58,23.58,23.58,Clear,4.93,27
2024-10-10,00:00:00,15.87,15.87,15.87,Clear,3.34,47
2024-10-10,03:00:00,12.62,12.62,12.62,Clear,3.45,50
2024-10-10,06:00:00,10.14,10.14,10.14,Clear,3.53,73
2024-10-10,09:00:00,8.4,8.4,8.4,Clear,3.86,78
2024-10-10,12:00:00,6.14,6.14,6.14,Clear,3.13,90
2024-10-10,15:00:00,13.09,13.09,13.09,Clear,4.64,52
2024-10-10,18:00:00,17.46,17.46,17.46,Clear,3.86,33
2024-10-10,21:00:00,18.38,18.38,18.38,Clear,4.19,30
2024-10-11,00:00:00,10.57,10.57,10.57,Clear,4.17,57
2024-10-11,03:00:00,6.76,6.76,6.76,Clear,2.99,75
2024-10-11,06:00:00,5.53,5.53,5.53,Clear,2.05,77
2024-10-11,09:00:00,4.81,4.81,4.81,Clear,1.69,77
2024-10-11,12:00:00,4.62,4.62,4.62,Clear,1.12,75
2024-10-11,15:00:00,13.53,13.53,13.53,Clear,1.03,44
2024-10-11,18:00:00,18.46,18.46,18.46,Clouds,2.37,30
2024-10-11,21:00:00,20.01,20.01,20.01,Clouds,2.28,27
