date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,30.3,30.3,27.84,Clouds,3.8,38
2024-10-07,03:00:00,25.59,25.59,22.62,Clear,4.53,32
2024-10-07,06:00:00,19.53,19.53,19.53,Clear,4.09,25
2024-10-07,09:00:00,17.71,17.71,17.71,Clear,3.71,29
2024-10-07,12:00:00,16.04,16.04,16.04,Clear,3.73,31
2024-10-07,15:00:00,22.26,22.26,22.26,Clear,4.47,22
2024-10-07,18:00:00,28.66,28.66,28.66,Clear,3.73,16
2024-10-07,21:00:00,30.56,30.56,30.56,Clear,2.91,17
2024-10-08,00:00:00,25.34,25.34,25.34,Clear,3.8,23
2024-10-08,03:00:00,20.9,20.9,20.9,Clear,4.3,24
2024-10-08,06:00:00,19.53,19.53,19.53,Clear,4.14,26
2024-10-08,09:00:00,18.02,18.02,18.02,Clear,3.64,29
2024-10-08,12:00:00,17.03,17.03,17.03,Clear,3.76,33
2024-10-08,15:00:00,23.22,23.22,23.22,Clear,6.37,32
2024-10-08,18:00:00,30.36,30.36,30.36,Clear,4.7,26
2024-10-08,21:00:00,33.45,33.45,33.45,Clear,3.23,22
2024-10-09,00:00:00,28.45,28.45,28.45,Clear,4.07,29
2024-10-09,03:00:00,22.99,22.99,22.99,Clear,4.95,38
2024-10-09,06:00:00,20.11,20.11,20.11,Clouds,4.62,41
2024-10-09,09:00:00,18.77,18.77,18.77,Clouds,4.51,41
2024-10-09,12:00:00,17.34,17.34,17.34,Clouds,5.34,41
2024-10-09,15:00:00,23.62,23.62,23.62,Clouds,7.4,27
2024-10-09,18:00:00,31.71,31.71,31.71,Clouds,5.8,22
2024-10-09,21:00:00,35.07,35.07,35.07,Clear,4.42,18
2024-10-10,00:00:00,29.36,29.36,29.36,Clear,3.8,25
2024-10-10,03:00:00,25.96,25.96,25.96,Clouds,7.79,28
2024-10-10,06:00:00,21.97,21.97,21.97,Clouds,4.53,36
2024-10-10,09:00:00,21.43,21.43,21.43,Clouds,6.29,37
2024-10-10,12:00:00,21.04,21.04,21.04,Clouds,7.14,39
2024-10-10,15:00:00,25.11,25.11,25.11,Clouds,8.64,31
2024-10-10,18:00:00,31.59,31.59,31.59,Rain,7.5,22
2024-10-10,21:00:00,34.81,34.81,34.81,Clouds,5.82,17
2024-10-11,00:00:00,30.95,30.95,30.95,Clouds,4.93,20
2024-10-11,03:00:00,25.73,25.73,25.73,Clouds,5.1,32
2024-10-11,06:00:00,24.15,24.15,24.15,Clouds,6.4,38
2024-10-11,09:00:00,23.8,23.8,23.8,Clouds,9.03,40
2024-10-11,12:00:00,23.06,23.06,23.06,Clouds,8.52,37
2024-10-11,15:00:00,26.66,26.66,26.66,Clouds,7.73,30
2024-10-11,18:00:00,32.46,32.46,32.46,Clouds,6.04,21
2024-10-11,21:00:00,34.61,34.61,34.61,Clouds,5.16,17
