date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,22.45,22.45,21.94,Clear,6.71,15
2024-10-07,03:00:00,16.27,16.27,13.05,Clear,1.43,27
2024-10-07,06:00:00,11.38,11.38,11.38,Clear,0.76,35
2024-10-07,09:00:00,10.15,10.15,10.15,Clear,0.64,39
2024-10-07,12:00:00,10.34,10.34,10.34,Clear,1.81,37
2024-10-07,15:00:00,11.78,11.78,11.78,Clear,2.07,36
2024-10-07,18:00:00,20.18,20.18,20.18,Clear,2.63,22
2024-10-07,21:00:00,23.66,23.66,23.66,Clear,4.34,17
2024-10-08,00:00:00,23.3,23.3,23.3,Clear,1.58,16
2024-10-08,03:00:00,14.71,14.71,14.71,Clear,3.07,29
2024-10-08,06:00:00,12.57,12.57,12.57,Clear,0.57,33
2024-10-08,09:00:00,11.41,11.41,11.41,Clear,1.0,34
2024-10-08,12:00:00,10.72,10.72,10.72,Clear,0.98,35
2024-10-08,15:00:00,11.99,11.99,11.99,Clear,1.08,37
2024-10-08,18:00:00,19.88,19.88,19.88,Clear,1.92,22
2024-10-08,21:00:00,23.22,23.22,23.22,Clouds,3.58,18
2024-10-09,00:00:00,22.1,22.1,22.1,Clouds,5.08,19
2024-10-09,03:00:00,13.31,13.31,13.31,Clouds,2.6,40
2024-10-09,06:00:00,11.0,11.0,11.0,Clouds,1.64,50
2024-10-09,09:00:00,9.26,9.26,9.26,Clear,1.37,60
2024-10-09,12:00:00,8.71,8.71,8.71,Clouds,1.03,64
2024-10-09,15:00:00,8.99,8.99,8.99,Clouds,1.31,64
2024-10-09,18:00:00,14.35,14.35,14.35,Clouds,3.63,45
2024-10-09,21:00:00,17.16,17.16,17.16,Clouds,6.1,37
2024-10-10,00:00:00,15.32,15.32,15.32,Clouds,6.19,41
2024-10-10,03:00:00,9.26,9.26,9.26,Clouds,2.96,63
2024-10-10,06:00:00,7.36,7.36,7.36,Clouds,1.6,73
2024-10-10,09:00:00,5.89,5.89,5.89,Clouds,0.78,83
2024-10-10,12:00:00,5.73,5.73,5.73,Clouds,0.49,84
2024-10-10,15:00:00,7.65,7.65,7.65,Clouds,0.66,73
2024-10-10,18:00:00,13.32,13.32,13.32,Clouds,2.36,46
2024-10-10,21:00:00,16.14,16.14,16.14,Clouds,1.7,38
2024-10-11,00:00:00,15.96,15.96,15.96,Clouds,3.23,38
2024-10-11,03:00:00,12.21,12.21,12.21,Clouds,1.79,51
2024-10-11,06:00:00,11.03,11.03,11.03,Clouds,1.52,53
2024-10-11,09:00:00,8.99,8.99,8.99,Clouds,1.62,59
2024-10-11,12:00:00,8.18,8.18,8.18,Clouds,1.37,65
2024-10-11,15:00:00,9.75,9.75,9.75,Clouds,2.12,56
2024-10-11,18:00:00,16.14,16.14,16.14,Clouds,3.31,35
2024-10-11,21:00:00,21.02,21.02,21.02,Clouds,5.79,23
