date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,21.53,21.53,18.13,Clear,3.3,60
2024-10-07,03:00:00,18.92,18.92,16.76,Clouds,1.95,68
2024-10-07,06:00:00,14.75,14.75,14.75,Rain,1.2,92
2024-10-07,09:00:00,14.53,14.53,14.53,Clouds,1.97,93
2024-10-07,12:00:00,12.52,12.52,12.52,Clouds,3.78,84
2024-10-07,15:00:00,17.44,17.44,17.44,Clear,5.62,52
2024-10-07,18:00:00,20.24,20.24,20.24,Clear,5.52,42
2024-10-07,21:00:00,18.65,18.65,18.65,Clear,5.03,48
2024-10-08,00:00:00,12.6,12.6,12.6,Clear,3.44,66
2024-10-08,03:00:00,10.1,10.1,10.1,Clear,2.18,74
2024-10-08,06:00:00,8.9,8.9,8.9,Clear,2.12,77
2024-10-08,09:00:00,7.74,7.74,7.74,Clouds,1.78,82
2024-10-08,12:00:00,8.22,8.22,8.22,Clouds,1.74,79
2024-10-08,15:00:00,16.01,16.01,16.01,Clear,3.69,47
2024-10-08,18:00:00,18.44,18.44,18.44,Clouds,4.82,38
2024-10-08,21:00:00,18.22,18.22,18.22,Clouds,4.06,41
2024-10-09,00:00:00,12.36,12.36,12.36,Clouds,2.7,58
2024-10-09,03:00:00,9.12,9.12,9.12,Clear,1.09,69
2024-10-09,06:00:00,7.86,7.86,7.86,Clear,1.44,72
2024-10-09,09:00:00,6.64,6.64,6.64,Clear,1.04,76
2024-10-09,12:00:00,7.83,7.83,7.83,Clouds,1.25,70
2024-10-09,15:00:00,15.35,15.35,15.35,Clouds,2.53,46
2024-10-09,18:00:00,20.11,20.11,20.11,Clouds,3.85,39
2024-10-09,21:00:00,20.8,20.8,20.8,Clear,3.12,41
2024-10-10,00:00:00,14.41,14.41,14.41,Clouds,1.39,58
2024-10-10,03:00:00,12.52,12.52,12.52,Clouds,2.13,65
2024-10-10,06:00:00,12.61,12.61,12.61,Clouds,5.08,62
2024-10-10,09:00:00,9.87,9.87,9.87,Clouds,4.25,64
2024-10-10,12:00:00,8.28,8.28,8.28,Clouds,3.77,71
2024-10-10,15:00:00,11.6,11.6,11.6,Clouds,5.51,51
2024-10-10,18:00:00,15.33,15.33,15.33,Clouds,5.04,39
2024-10-10,21:00:00,15.4,15.4,15.4,Clouds,4.2,41
2024-10-11,00:00:00,10.01,10.01,10.01,Clouds,3.04,56
2024-10-11,03:00:00,7.78,7.78,7.78,Clear,3.15,66
2024-10-11,06:00:00,5.76,5.76,5.76,Clear,2.8,75
2024-10-11,09:00:00,4.34,4.34,4.34,Clear,1.67,82
2024-10-11,12:00:00,4.86,4.86,4.86,Clear,1.48,79
2024-10-11,15:00:00,12.61,12.61,12.61,Clear,2.33,51
2024-10-11,18:00:00,17.22,17.22,17.22,Clear,2.32,40
2024-10-11,21:00:00,17.83,17.83,17.83,Clear,2.17,42
