date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,15.68,15.68,13.09,Clouds,1.95,73
2024-10-07,03:00:00,13.65,13.65,11.98,Clouds,1.12,79
2024-10-07,06:00:00,11.77,11.77,11.77,Clouds,1.33,85
2024-10-07,09:00:00,12.63,12.63,12.63,Rain,1.73,93
2024-10-07,12:00:00,14.38,14.38,14.38,Rain,3.06,89
2024-10-07,15:00:00,15.55,15.55,15.55,Rain,4.44,93
2024-10-07,18:00:00,16.12,16.12,16.12,Rain,2.02,95
2024-10-07,21:00:00,19.4,19.4,19.4,Rain,2.53,59
2024-10-08,00:00:00,14.52,14.52,14.52,Clouds,3.62,61
2024-10-08,03:00:00,11.91,11.91,11.91,Clear,3.02,73
2024-10-08,06:00:00,10.17,10.17,10.17,Clouds,2.72,77
2024-10-08,09:00:00,9.72,9.72,9.72,Clouds,2.96,74
2024-10-08,12:00:00,9.67,9.67,9.67,Clouds,3.06,71
2024-10-08,15:00:00,15.71,15.71,15.71,Clear,4.32,41
2024-10-08,18:00:00,18.21,18.21,18.21,Clear,3.6,34
2024-10-08,21:00:00,16.84,16.84,16.84,Clouds,1.57,40
2024-10-09,00:00:00,13.83,13.83,13.83,Clouds,2.03,52
2024-10-09,03:00:00,11.52,11.52,11.52,Clouds,3.62,52
2024-10-09,06:00:00,7.7,7.7,7.7,Clouds,2.77,65
2024-10-09,09:00:00,6.88,6.88,6.88,Clear,2.12,65
2024-10-09,12:00:00,8.07,8.07,8.07,Clear,1.87,59
2024-10-09,15:00:00,14.56,14.56,14.56,Clear,3.36,38
2024-10-09,18:00:00,17.1,17.1,17.1,Clear,3.35,31
2024-10-09,21:00:00,16.59,16.59,16.59,Clouds,2.8,33
2024-10-10,00:00:00,11.52,11.52,11.52,Clouds,1.05,51
2024-10-10,03:00:00,10.6,10.6,10.6,Clouds,2.27,73
2024-10-10,06:00:00,10.12,10.12,10.12,Rain,4.49,90
2024-10-10,09:00:00,9.68,9.68,9.68,Rain,1.41,85
2024-10-10,12:00:00,7.98,7.98,7.98,Clouds,3.16,81
2024-10-10,15:00:00,13.2,13.2,13.2,Clouds,4.23,50
2024-10-10,18:00:00,15.3,15.3,15.3,Clouds,3.6,39
2024-10-10,21:00:00,14.25,14.25,14.25,Clear,3.87,38
2024-10-11,00:00:00,9.78,9.78,9.78,Clear,3.11,53
2024-10-11,03:00:00,7.06,7.06,7.06,Clear,4.15,62
2024-10-11,06:00:00,6.16,6.16,6.16,Clear,2.92,67
2024-10-11,09:00:00,5.63,5.63,5.63,Clear,2.92,70
2024-10-11,12:00:00,6.86,6.86,6.86,Clear,3.44,66
2024-10-11,15:00:00,12.58,12.58,12.58,Clear,3.93,44
2024-10-11,18:00:00,15.76,15.76,15.76,Clear,3.18,38
2024-10-11,21:00:00,15.97,15.97,15.97,Clear,2.93,39
