date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,26.26,26.26,23.92,Clouds,1.39,59
2024-10-07,03:00:00,23.74,23.74,21.9,Clear,0.91,64
2024-10-07,06:00:00,20.49,20.49,20.49,Clear,1.26,73
2024-10-07,09:00:00,19.33,19.33,19.33,Clear,1.37,81
2024-10-07,12:00:00,19.3,19.3,19.3,Clear,1.23,78
2024-10-07,15:00:00,25.99,25.99,25.99,Clear,1.21,54
2024-10-07,18:00:00,30.25,30.25,30.25,Clear,0.56,41
2024-10-07,21:00:00,29.63,29.63,29.63,Clear,1.27,41
2024-10-08,00:00:00,25.68,25.68,25.68,Clouds,1.61,55
2024-10-08,03:00:00,24.47,24.47,24.47,Clouds,1.57,60
2024-10-08,06:00:00,21.49,21.49,21.49,Clouds,0.9,71
2024-10-08,09:00:00,20.3,20.3,20.3,Clear,2.92,68
2024-10-08,12:00:00,18.96,18.96,18.96,Clear,2.74,54
2024-10-08,15:00:00,21.38,21.38,21.38,Clouds,3.64,50
2024-10-08,18:00:00,24.54,24.54,24.54,Clouds,4.04,53
2024-10-08,21:00:00,23.76,23.76,23.76,Clear,2.92,59
2024-10-09,00:00:00,21.18,21.18,21.18,Clouds,2.19,71
2024-10-09,03:00:00,19.82,19.82,19.82,Clouds,3.15,79
2024-10-09,06:00:00,19.0,19.0,19.0,Clouds,3.05,81
2024-10-09,09:00:00,18.12,18.12,18.12,Clouds,3.41,83
2024-10-09,12:00:00,17.53,17.53,17.53,Clouds,3.88,80
2024-10-09,15:00:00,20.09,20.09,20.09,Clouds,5.29,65
2024-10-09,18:00:00,21.81,21.81,21.81,Clouds,5.33,55
2024-10-09,21:00:00,20.83,20.83,20.83,Clouds,5.03,56
2024-10-10,00:00:00,18.93,18.93,18.93,Clouds,4.54,57
2024-10-10,03:00:00,18.09,18.09,18.09,Clouds,4.58,60
2024-10-10,06:00:00,17.78,17.78,17.78,Clouds,4.8,60
2024-10-10,09:00:00,16.32,16.32,16.32,Rain,4.1,67
2024-10-10,12:00:00,16.4,16.4,16.4,Rain,4.44,60
2024-10-10,15:00:00,17.03,17.03,17.03,Rain,4.53,60
2024-10-10,18:00:00,19.42,19.42,19.42,Clouds,5.96,50
2024-10-10,21:00:00,20.93,20.93,20.93,Clouds,5.1,48
2024-10-11,00:00:00,17.22,17.22,17.22,Clouds,3.82,67
2024-10-11,03:00:00,14.31,14.31,14.31,Clear,3.64,62
2024-10-11,06:00:00,11.17,11.17,11.17,Clear,3.3,63
2024-10-11,09:00:00,9.56,9.56,9.56,Clear,3.29,65
2024-10-11,12:00:00,9.31,9.31,9.31,Clear,3.18,63
2024-10-11,15:00:00,16.98,16.98,16.98,Clear,4.37,39
2024-10-11,18:00:00,21.38,21.38,21.38,Clear,3.88,30
2024-10-11,21:00:00,21.63,21.63,21.63,Clear,3.02,31
