date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,17.54,17.54,14.75,Clear,1.35,32
2024-10-07,03:00:00,14.9,14.9,12.88,Clear,2.64,30
2024-10-07,06:00:00,11.25,11.25,11.25,Clear,3.05,32
2024-10-07,09:00:00,10.05,10.05,10.05,Clear,3.42,37
2024-10-07,12:00:00,9.18,9.18,9.18,Clear,4.07,39
2024-10-07,15:00:00,14.37,14.37,14.37,Clouds,5.7,27
2024-10-07,18:00:00,21.65,21.65,21.65,Clouds,4.49,20
2024-10-07,21:00:00,25.11,25.11,25.11,Clear,3.53,18
2024-10-08,00:00:00,20.54,20.54,20.54,Clear,3.59,23
2024-10-08,03:00:00,16.33,16.33,16.33,Clear,3.43,28
2024-10-08,06:00:00,14.27,14.27,14.27,Clear,3.37,30
2024-10-08,09:00:00,11.76,11.76,11.76,Clear,2.26,35
2024-10-08,12:00:00,11.01,11.01,11.01,Clear,2.02,38
2024-10-08,15:00:00,17.42,17.42,17.42,Clear,0.92,26
2024-10-08,18:00:00,25.28,25.28,25.28,Clear,1.43,17
2024-10-08,21:00:00,28.19,28.19,28.19,Clear,2.19,14
2024-10-09,00:00:00,22.73,22.73,22.73,Clear,2.98,20
2024-10-09,03:00:00,18.72,18.72,18.72,Clear,3.05,25
2024-10-09,06:00:00,16.6,16.6,16.6,Clear,2.49,29
2024-10-09,09:00:00,15.7,15.7,15.7,Clouds,2.22,32
2024-10-09,12:00:00,14.59,14.59,14.59,Clouds,1.67,34
2024-10-09,15:00:00,20.63,20.63,20.63,Clear,1.96,24
2024-10-09,18:00:00,27.38,27.38,27.38,Clear,2.79,18
2024-10-09,21:00:00,29.8,29.8,29.8,Clear,2.19,16
2024-10-10,00:00:00,23.28,23.28,23.28,Clear,1.47,23
2024-10-10,03:00:00,21.14,21.14,21.14,Clear,3.09,26
2024-10-10,06:00:00,18.86,18.86,18.86,Clear,2.46,31
2024-10-10,09:00:00,17.47,17.47,17.47,Clear,2.04,34
2024-10-10,12:00:00,16.08,16.08,16.08,Clear,2.61,40
2024-10-10,15:00:00,21.32,21.32,21.32,Clear,1.6,30
2024-10-10,18:00:00,28.88,28.88,28.88,Clouds,3.43,19
2024-10-10,21:00:00,31.09,31.09,31.09,Clouds,3.1,14
2024-10-11,00:00:00,25.09,25.09,25.09,Clouds,3.38,18
2024-10-11,03:00:00,22.02,22.02,22.02,Clouds,2.5,22
2024-10-11,06:00:00,19.37,19.37,19.37,Clouds,3.1,28
2024-10-11,09:00:00,17.31,17.31,17.31,Clouds,6.59,29
2024-10-11,12:00:00,17.1,17.1,17.1,Clouds,5.03,24
2024-10-11,15:00:00,18.64,18.64,18.64,Clouds,6.63,31
2024-10-11,18:00:00,21.46,21.46,21.46,Clouds,6.48,28
2024-10-11,21:00:00,23.41,23.41,23.41,Clouds,5.28,20
