date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,26.96,26.96,23.27,Clear,1.05,55
2024-10-07,03:00:00,23.22,23.22,20.43,Clouds,0.81,70
2024-10-07,06:00:00,18.73,18.73,18.73,Clouds,2.0,88
2024-10-07,09:00:00,15.94,15.94,15.94,Clear,2.01,70
2024-10-07,12:00:00,13.84,13.84,13.84,Clear,1.96,62
2024-10-07,15:00:00,18.73,18.73,18.73,Clear,3.61,46
2024-10-07,18:00:00,22.09,22.09,22.09,Clear,3.97,40
2024-10-07,21:00:00,21.07,21.07,21.07,Clear,4.35,47
2024-10-08,00:00:00,14.63,14.63,14.63,Clear,2.96,73
2024-10-08,03:00:00,12.18,12.18,12.18,Clear,2.32,78
2024-10-08,06:00:00,10.56,10.56,10.56,Clear,2.27,84
2024-10-08,09:00:00,9.32,9.32,9.32,Clear,2.32,87
2024-10-08,12:00:00,8.66,8.66,8.66,Clear,2.15,86
2024-10-08,15:00:00,16.96,16.96,16.96,Clear,4.08,54
2024-10-08,18:00:00,22.13,22.13,22.13,Clear,3.74,38
2024-10-08,21:00:00,22.15,22.15,22.15,Clear,3.81,43
2024-10-09,00:00:00,14.45,14.45,14.45,Clear,2.29,70
2024-10-09,03:00:00,12.25,12.25,12.25,Clear,2.07,73
2024-10-09,06:00:00,11.25,11.25,11.25,Clear,1.67,70
2024-10-09,09:00:00,10.78,10.78,10.78,Clear,1.27,70
2024-10-09,12:00:00,10.55,10.55,10.55,Clear,1.38,71
2024-10-09,15:00:00,19.6,19.6,19.6,Clear,2.08,49
2024-10-09,18:00:00,24.23,24.23,24.23,Clear,2.82,37
2024-10-09,21:00:00,24.45,24.45,24.45,Clear,2.64,41
2024-10-10,00:00:00,16.25,16.25,16.25,Clear,2.16,68
2024-10-10,03:00:00,13.61,13.61,13.61,Clear,1.96,71
2024-10-10,06:00:00,12.0,12.0,12.0,Clear,1.67,77
2024-10-10,09:00:00,11.31,11.31,11.31,Clear,1.98,76
2024-10-10,12:00:00,10.57,10.57,10.57,Clear,2.16,76
2024-10-10,15:00:00,19.35,19.35,19.35,Clear,3.64,50
2024-10-10,18:00:00,23.94,23.94,23.94,Clear,3.99,39
2024-10-10,21:00:00,23.44,23.44,23.44,Clear,3.79,48
2024-10-11,00:00:00,15.67,15.67,15.67,Clear,2.46,79
2024-10-11,03:00:00,13.37,13.37,13.37,Clear,1.98,83
2024-10-11,06:00:00,11.66,11.66,11.66,Clear,1.72,85
2024-10-11,09:00:00,10.45,10.45,10.45,Clear,1.27,81
2024-10-11,12:00:00,9.63,9.63,9.63,Clear,1.07,76
2024-10-11,15:00:00,17.82,17.82,17.82,Clear,1.52,46
2024-10-11,18:00:00,22.01,22.01,22.01,Clear,2.01,32
2024-10-11,21:00:00,21.54,21.54,21.54,Clear,2.29,36
