date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,29.98,29.98,28.0,Clouds,3.31,31
2024-10-07,03:00:00,26.19,26.19,23.8,Clouds,3.46,39
2024-10-07,06:00:00,21.59,21.59,21.59,Clear,2.52,50
2024-10-07,09:00:00,20.83,20.83,20.83,Clear,2.4,51
2024-10-07,12:00:00,18.94,18.94,18.94,Clear,1.62,56
2024-10-07,15:00:00,25.94,25.94,25.94,Clear,1.04,37
2024-10-07,18:00:00,30.6,30.6,30.6,Clear,3.46,26
2024-10-07,21:00:00,31.92,31.92,31.92,Clear,2.29,22
2024-10-08,00:00:00,28.09,28.09,28.09,Clear,3.38,29
2024-10-08,03:00:00,24.53,24.53,24.53,Clear,3.01,37
2024-10-08,06:00:00,21.91,21.91,21.91,Clear,2.24,43
2024-10-08,09:00:00,20.09,20.09,20.09,Clear,1.03,49
2024-10-08,12:00:00,19.86,19.86,19.86,Clear,1.65,49
2024-10-08,15:00:00,26.63,26.63,26.63,Clear,1.1,34
2024-10-08,18:00:00,31.29,31.29,31.29,Clear,1.63,26
2024-10-08,21:00:00,32.92,32.92,32.92,Clear,2.46,21
2024-10-09,00:00:00,28.4,28.4,28.4,Clear,2.61,28
2024-10-09,03:00:00,24.77,24.77,24.77,Clear,3.99,37
2024-10-09,06:00:00,22.66,22.66,22.66,Clear,3.75,43
2024-10-09,09:00:00,21.08,21.08,21.08,Clear,3.91,46
2024-10-09,12:00:00,19.59,19.59,19.59,Clear,3.17,49
2024-10-09,15:00:00,26.4,26.4,26.4,Clear,2.89,32
2024-10-09,18:00:00,32.29,32.29,32.29,Clear,1.75,23
2024-10-09,21:00:00,34.12,34.12,34.12,Clear,1.38,18
2024-10-10,00:00:00,29.69,29.69,29.69,Clear,3.3,24
2024-10-10,03:00:00,25.17,25.17,25.17,Clear,4.75,32
2024-10-10,06:00:00,23.49,23.49,23.49,Clear,5.06,34
2024-10-10,09:00:00,22.36,22.36,22.36,Clear,4.7,40
2024-10-10,12:00:00,21.01,21.01,21.01,Clear,3.63,45
2024-10-10,15:00:00,27.58,27.58,27.58,Clouds,4.31,35
2024-10-10,18:00:00,33.62,33.62,33.62,Clouds,3.01,21
2024-10-10,21:00:00,35.2,35.2,35.2,Clear,3.19,16
2024-10-11,00:00:00,30.31,30.31,30.31,Clear,3.87,22
2024-10-11,03:00:00,27.56,27.56,27.56,Clouds,6.33,28
2024-10-11,06:00:00,24.75,24.75,24.75,Clouds,4.68,34
2024-10-11,09:00:00,22.53,22.53,22.53,Clear,4.43,38
2024-10-11,12:00:00,20.79,20.79,20.79,Clear,4.18,45
2024-10-11,15:00:00,26.1,26.1,26.1,Clear,3.9,35
2024-10-11,18:00:00,31.69,31.69,31.69,Clear,5.05,25
2024-10-11,21:00:00,33.62,33.62,33.62,Clear,4.22,22
