date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,24.83,24.83,23.63,Clear,5.34,14
2024-10-07,03:00:00,17.83,17.83,14.03,Clear,2.01,22
2024-10-07,06:00:00,11.91,11.91,11.91,Clear,1.44,33
2024-10-07,09:00:00,10.47,10.47,10.47,Clear,0.63,40
2024-10-07,12:00:00,9.65,9.65,9.65,Clear,0.48,45
2024-10-07,15:00:00,16.44,16.44,16.44,Clear,0.31,23
2024-10-07,18:00:00,23.24,23.24,23.24,Clear,1.08,16
2024-10-07,21:00:00,25.87,25.87,25.87,Clear,1.49,14
2024-10-08,00:00:00,24.41,24.41,24.41,Clouds,3.92,15
2024-10-08,03:00:00,15.1,15.1,15.1,Clouds,0.91,32
2024-10-08,06:00:00,15.06,15.06,15.06,Clouds,1.83,33
2024-10-08,09:00:00,11.77,11.77,11.77,Clouds,0.51,40
2024-10-08,12:00:00,9.83,9.83,9.83,Clouds,0.44,51
2024-10-08,15:00:00,16.24,16.24,16.24,Clouds,0.83,29
2024-10-08,18:00:00,23.12,23.12,23.12,Clouds,1.99,19
2024-10-08,21:00:00,26.22,26.22,26.22,Clouds,5.86,13
2024-10-09,00:00:00,22.67,22.67,22.67,Clouds,3.37,19
2024-10-09,03:00:00,13.51,13.51,13.51,Clouds,2.45,39
2024-10-09,06:00:00,11.12,11.12,11.12,Clouds,0.52,49
2024-10-09,09:00:00,10.3,10.3,10.3,Clouds,0.97,50
2024-10-09,12:00:00,9.61,9.61,9.61,Clouds,0.69,55
2024-10-09,15:00:00,15.95,15.95,15.95,Clear,0.5,30
2024-10-09,18:00:00,23.37,23.37,23.37,Clear,1.98,18
2024-10-09,21:00:00,26.44,26.44,26.44,Clear,6.41,11
2024-10-10,00:00:00,24.54,24.54,24.54,Clear,5.56,11
2024-10-10,03:00:00,14.72,14.72,14.72,Clouds,1.92,22
2024-10-10,06:00:00,13.03,13.03,13.03,Clouds,2.37,23
2024-10-10,09:00:00,11.82,11.82,11.82,Clear,2.0,27
2024-10-10,12:00:00,9.8,9.8,9.8,Clear,1.2,41
2024-10-10,15:00:00,16.73,16.73,16.73,Clouds,0.7,21
2024-10-10,18:00:00,23.73,23.73,23.73,Clouds,3.32,13
2024-10-10,21:00:00,26.73,26.73,26.73,Clouds,6.95,10
2024-10-11,00:00:00,23.95,23.95,23.95,Clouds,5.56,12
2024-10-11,03:00:00,16.17,16.17,16.17,Clouds,1.89,20
2024-10-11,06:00:00,14.66,14.66,14.66,Clouds,2.04,24
2024-10-11,09:00:00,12.92,12.92,12.92,Clouds,1.37,28
2024-10-11,12:00:00,11.63,11.63,11.63,Clouds,1.49,31
2024-10-11,15:00:00,16.94,16.94,16.94,Clouds,0.62,23
2024-10-11,18:00:00,23.96,23.96,23.96,Clouds,3.2,15
2024-10-11,21:00:00,26.34,26.34,26.34,Clouds,4.56,13
