date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,22.71,22.71,20.16,Clouds,2.21,67
2024-10-07,03:00:00,20.33,20.33,18.5,Clear,2.86,73
2024-10-07,06:00:00,17.49,17.49,17.49,Clear,2.89,80
2024-10-07,09:00:00,17.05,17.05,17.05,Clear,2.75,84
2024-10-07,12:00:00,17.14,17.14,17.14,Clear,1.27,88
2024-10-07,15:00:00,22.9,22.9,22.9,Clear,4.07,51
2024-10-07,18:00:00,24.28,24.28,24.28,Clear,3.44,39
2024-10-07,21:00:00,23.26,23.26,23.26,Clear,3.24,42
2024-10-08,00:00:00,17.95,17.95,17.95,Clouds,2.12,55
2024-10-08,03:00:00,15.88,15.88,15.88,Clear,2.25,61
2024-10-08,06:00:00,13.82,13.82,13.82,Clear,2.27,65
2024-10-08,09:00:00,12.41,12.41,12.41,Clear,2.05,67
2024-10-08,12:00:00,12.29,12.29,12.29,Clear,1.91,65
2024-10-08,15:00:00,18.45,18.45,18.45,Clear,2.0,45
2024-10-08,18:00:00,21.91,21.91,21.91,Clear,1.36,39
2024-10-08,21:00:00,21.57,21.57,21.57,Clear,1.59,42
2024-10-09,00:00:00,16.99,16.99,16.99,Clear,0.79,57
2024-10-09,03:00:00,15.18,15.18,15.18,Clear,0.84,64
2024-10-09,06:00:00,13.74,13.74,13.74,Clear,0.76,70
2024-10-09,09:00:00,12.55,12.55,12.55,Clear,0.96,73
2024-10-09,12:00:00,12.36,12.36,12.36,Clear,1.76,66
2024-10-09,15:00:00,19.51,19.51,19.51,Clear,1.06,42
2024-10-09,18:00:00,22.73,22.73,22.73,Clouds,0.15,33
2024-10-09,21:00:00,21.43,21.43,21.43,Clouds,0.96,40
2024-10-10,00:00:00,17.69,17.69,17.69,Clouds,1.84,52
2024-10-10,03:00:00,16.24,16.24,16.24,Clouds,1.81,63
2024-10-10,06:00:00,15.52,15.52,15.52,Clouds,1.38,73
2024-10-10,09:00:00,15.2,15.2,15.2,Clouds,1.38,75
2024-10-10,12:00:00,14.67,14.67,14.67,Clouds,4.76,59
2024-10-10,15:00:00,14.76,14.76,14.76,Clouds,4.85,50
2024-10-10,18:00:00,15.94,15.94,15.94,Clouds,4.43,40
2024-10-10,21:00:00,15.99,15.99,15.99,Clouds,3.67,42
2024-10-11,00:00:00,13.29,13.29,13.29,Clouds,2.46,51
2024-10-11,03:00:00,11.28,11.28,11.28,Clouds,2.77,55
2024-10-11,06:00:00,10.22,10.22,10.22,Clouds,3.11,57
2024-10-11,09:00:00,8.68,8.68,8.68,Clear,3.14,64
2024-10-11,12:00:00,7.95,7.95,7.95,Clear,2.95,67
2024-10-11,15:00:00,14.29,14.29,14.29,Clear,3.27,44
2024-10-11,18:00:00,18.52,18.52,18.52,Clear,2.35,34
2024-10-11,21:00:00,18.93,18.93,18.93,Clear,1.56,36
