date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,20.73,21.46,20.73,Clear,1.64,29
2024-10-07,03:00:00,16.12,16.12,14.0,Clouds,1.89,40
2024-10-07,06:00:00,11.76,11.76,11.76,Clouds,1.91,55
2024-10-07,09:00:00,10.98,10.98,10.98,Clear,1.73,46
2024-10-07,12:00:00,9.96,9.96,9.96,Clear,1.63,40
2024-10-07,15:00:00,10.96,10.96,10.96,Clear,1.15,36
2024-10-07,18:00:00,20.14,20.14,20.14,Clear,1.55,22
2024-10-07,21:00:00,23.96,23.96,23.96,Clear,2.09,21
2024-10-08,00:00:00,23.34,23.34,23.34,Clear,1.54,24
2024-10-08,03:00:00,15.32,15.32,15.32,Clear,1.98,42
2024-10-08,06:00:00,13.67,13.67,13.67,Clear,1.86,53
2024-10-08,09:00:00,13.08,13.08,13.08,Clear,1.61,52
2024-10-08,12:00:00,13.24,13.24,13.24,Clouds,1.34,54
2024-10-08,15:00:00,14.24,14.24,14.24,Clouds,1.38,56
2024-10-08,18:00:00,23.61,23.61,23.61,Clouds,1.21,31
2024-10-08,21:00:00,26.77,26.77,26.77,Clouds,2.35,27
2024-10-09,00:00:00,21.37,21.37,21.37,Clouds,3.45,42
2024-10-09,03:00:00,14.22,14.22,14.22,Clouds,2.47,71
2024-10-09,06:00:00,13.91,13.91,13.91,Clouds,2.12,74
2024-10-09,09:00:00,13.72,13.72,13.72,Clouds,2.22,76
2024-10-09,12:00:00,12.5,12.5,12.5,Clouds,2.21,80
2024-10-09,15:00:00,13.4,13.4,13.4,Clouds,1.92,73
2024-10-09,18:00:00,20.28,20.28,20.28,Clouds,1.87,41
2024-10-09,21:00:00,20.4,20.4,20.4,Clouds,3.3,40
2024-10-10,00:00:00,19.01,19.01,19.01,Clouds,2.5,33
2024-10-10,03:00:00,9.46,9.46,9.46,Clear,2.81,59
2024-10-10,06:00:00,7.2,7.2,7.2,Clear,2.73,77
2024-10-10,09:00:00,6.87,6.87,6.87,Clouds,2.25,76
2024-10-10,12:00:00,6.51,6.51,6.51,Clouds,1.79,79
2024-10-10,15:00:00,7.49,7.49,7.49,Clouds,1.43,71
2024-10-10,18:00:00,15.04,15.04,15.04,Clouds,1.26,42
2024-10-10,21:00:00,18.11,18.11,18.11,Clouds,2.12,29
2024-10-11,00:00:00,17.76,17.76,17.76,Clouds,1.57,30
2024-10-11,03:00:00,10.09,10.09,10.09,Clear,1.65,50
2024-10-11,06:00:00,7.68,7.68,7.68,Clear,1.97,57
2024-10-11,09:00:00,6.75,6.75,6.75,Clouds,1.84,61
2024-10-11,12:00:00,5.85,5.85,5.85,Clouds,1.67,63
2024-10-11,15:00:00,6.78,6.78,6.78,Clouds,1.45,56
2024-10-11,18:00:00,15.43,15.43,15.43,Clouds,1.31,32
2024-10-11,21:00:00,18.89,18.89,18.89,Clouds,1.7,26
