date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,14.6,14.6,11.62,Clear,5.34,52
2024-10-07,03:00:00,9.76,9.76,6.6,Clear,2.87,62
2024-10-07,06:00:00,4.48,4.48,4.48,Clear,2.93,54
2024-10-07,09:00:00,3.28,3.28,3.28,Clear,2.85,50
2024-10-07,12:00:00,2.92,2.92,2.92,Clouds,2.37,51
2024-10-07,15:00:00,10.31,10.31,10.31,Clouds,3.65,37
2024-10-07,18:00:00,15.79,15.79,15.79,Clouds,5.29,33
2024-10-07,21:00:00,17.47,17.47,17.47,Clouds,5.02,36
2024-10-08,00:00:00,11.49,11.49,11.49,Clouds,2.89,53
2024-10-08,03:00:00,8.9,8.9,8.9,Clear,3.03,56
2024-10-08,06:00:00,7.06,7.06,7.06,Clouds,2.12,66
2024-10-08,09:00:00,5.82,5.82,5.82,Clouds,1.73,62
2024-10-08,12:00:00,4.96,4.96,4.96,Clouds,1.2,67
2024-10-08,15:00:00,12.55,12.55,12.55,Clouds,1.28,49
2024-10-08,18:00:00,18.01,18.01,18.01,Clouds,2.59,36
2024-10-08,21:00:00,19.44,19.44,19.44,Clear,2.61,33
2024-10-09,00:00:00,12.63,12.63,12.63,Clouds,2.3,56
2024-10-09,03:00:00,10.75,10.75,10.75,Clear,2.17,60
2024-10-09,06:00:00,8.15,8.15,8.15,Clear,2.64,66
2024-10-09,09:00:00,6.7,6.7,6.7,Clear,2.88,63
2024-10-09,12:00:00,6.06,6.06,6.06,Clear,2.68,73
2024-10-09,15:00:00,12.98,12.98,12.98,Clear,3.02,52
2024-10-09,18:00:00,18.51,18.51,18.51,Clear,3.16,37
2024-10-09,21:00:00,19.35,19.35,19.35,Clear,3.23,35
2024-10-10,00:00:00,12.42,12.42,12.42,Clear,3.27,49
2024-10-10,03:00:00,9.71,9.71,9.71,Clear,4.65,51
2024-10-10,06:00:00,6.91,6.91,6.91,Clear,4.15,73
2024-10-10,09:00:00,4.7,4.7,4.7,Clear,3.24,91
2024-10-10,12:00:00,4.37,4.37,4.37,Clear,3.22,96
2024-10-10,15:00:00,11.53,11.53,11.53,Clear,4.6,65
2024-10-10,18:00:00,17.72,17.72,17.72,Clear,3.82,40
2024-10-10,21:00:00,20.12,20.12,20.12,Clear,3.49,39
2024-10-11,00:00:00,13.84,13.84,13.84,Clear,3.11,58
2024-10-11,03:00:00,11.45,11.45,11.45,Clouds,3.3,70
2024-10-11,06:00:00,10.36,10.36,10.36,Clouds,3.05,74
2024-10-11,09:00:00,10.66,10.66,10.66,Clouds,3.37,63
2024-10-11,12:00:00,10.39,10.39,10.39,Clouds,3.23,62
2024-10-11,15:00:00,18.11,18.11,18.11,Clouds,5.03,47
2024-10-11,18:00:00,23.75,23.75,23.75,Clouds,5.7,38
2024-10-11,21:00:00,25.12,25.12,25.12,Clouds,4.16,39
