date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,22.21,22.21,19.9,Clear,3.77,15
2024-10-07,03:00:00,18.01,18.01,15.33,Clear,2.89,21
2024-10-07,06:00:00,13.9,13.9,13.9,Clear,3.99,26
2024-10-07,09:00:00,12.31,12.31,12.31,Clear,3.36,29
2024-10-07,12:00:00,10.22,10.22,10.22,Clear,3.4,33
2024-10-07,15:00:00,13.98,13.98,13.98,Clear,2.7,27
2024-10-07,18:00:00,19.61,19.61,19.61,Clear,2.82,18
2024-10-07,21:00:00,21.68,21.68,21.68,Clear,2.01,14
2024-10-08,00:00:00,19.96,19.96,19.96,Clear,2.18,15
2024-10-08,03:00:00,15.06,15.06,15.06,Clear,2.14,19
2024-10-08,06:00:00,13.22,13.22,13.22,Clear,2.07,20
2024-10-08,09:00:00,11.27,11.27,11.27,Clear,3.58,24
2024-10-08,12:00:00,10.41,10.41,10.41,Clear,2.76,23
2024-10-08,15:00:00,13.9,13.9,13.9,Clear,3.14,18
2024-10-08,18:00:00,19.93,19.93,19.93,Clear,4.54,13
2024-10-08,21:00:00,21.88,21.88,21.88,Clouds,4.24,15
2024-10-09,00:00:00,20.43,20.43,20.43,Clouds,3.78,16
2024-10-09,03:00:00,16.31,16.31,16.31,Clouds,2.51,20
2024-10-09,06:00:00,13.87,13.87,13.87,Clear,3.43,23
2024-10-09,09:00:00,12.22,12.22,12.22,Clear,2.43,24
2024-10-09,12:00:00,10.76,10.76,10.76,Clear,1.58,29
2024-10-09,15:00:00,15.85,15.85,15.85,Clear,1.44,22
2024-10-09,18:00:00,20.94,20.94,20.94,Clear,3.59,17
2024-10-09,21:00:00,22.65,22.65,22.65,Clear,2.81,16
2024-10-10,00:00:00,20.06,20.06,20.06,Clear,0.91,20
2024-10-10,03:00:00,17.52,17.52,17.52,Clear,4.06,21
2024-10-10,06:00:00,15.06,15.06,15.06,Clouds,4.01,25
2024-10-10,09:00:00,14.42,14.42,14.42,Clouds,3.33,27
2024-10-10,12:00:00,12.63,12.63,12.63,Clouds,3.96,31
2024-10-10,15:00:00,16.04,16.04,16.04,Clouds,2.78,26
2024-10-10,18:00:00,23.1,23.1,23.1,Clouds,4.17,16
2024-10-10,21:00:00,25.16,25.16,25.16,Clouds,5.03,13
2024-10-11,00:00:00,22.34,22.34,22.34,Clouds,5.58,15
2024-10-11,03:00:00,18.92,18.92,18.92,Clouds,4.36,18
2024-10-11,06:00:00,16.94,16.94,16.94,Clouds,1.5,20
2024-10-11,09:00:00,13.85,13.85,13.85,Clouds,3.92,28
2024-10-11,12:00:00,12.47,12.47,12.47,Clouds,3.72,30
2024-10-11,15:00:00,11.21,11.21,11.21,Clouds,8.39,38
2024-10-11,18:00:00,19.34,19.34,19.34,Clouds,2.89,18
2024-10-11,21:00:00,22.98,22.98,22.98,Clear,5.2,14
